,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,67.0,64.0,64.0,71.0
1,2014-10-01,67.0,64.0,64.0,71.0
2,2014-11-01,67.0,64.0,64.0,71.0
3,2014-12-01,65.0,66.0,59.0,68.0
4,2015-01-01,65.0,66.0,59.0,68.0
5,2015-02-01,65.0,66.0,59.0,68.0
6,2015-03-01,64.0,63.0,60.0,69.0
7,2015-04-01,64.0,63.0,60.0,69.0
8,2015-05-01,64.0,63.0,60.0,69.0
9,2015-06-01,64.0,63.0,60.0,69.0
10,2015-07-01,64.0,63.0,60.0,69.0
11,2015-08-01,64.0,63.0,60.0,69.0
12,2015-09-01,64.0,63.0,60.0,69.0
13,2015-10-01,64.0,63.0,60.0,69.0
14,2015-11-01,64.0,63.0,60.0,69.0
15,2015-12-01,71.0,65.0,71.0,74.0
16,2016-01-01,70.54,65.05,71.07,73.5
17,2016-02-01,70.54,65.05,71.07,73.5
18,2016-03-01,69.4,65.05,71.07,70.65
19,2016-04-01,67.49,65.05,71.07,65.89
20,2016-05-01,67.49,65.05,71.07,65.89
21,2016-06-01,67.49,65.05,71.07,65.89
22,2016-07-01,67.62,65.05,71.43,65.89
23,2016-08-01,67.62,65.05,71.43,65.89
24,2016-09-01,67.62,65.05,71.43,65.89
25,2016-10-01,67.6,65.05,71.43,65.86
26,2016-11-01,67.6,65.05,71.43,65.86
27,2016-12-01,67.6,65.05,71.43,65.86
28,2017-01-01,64.37,63.55,61.14,67.71
29,2017-02-01,64.37,63.55,61.14,67.71
30,2017-03-01,64.37,63.55,61.14,67.71
31,2017-04-01,64.37,63.55,61.14,67.71
32,2017-05-01,64.5,63.55,61.5,67.71
33,2017-06-01,64.5,63.55,61.5,67.71
34,2017-07-01,64.5,63.55,61.5,67.71
35,2017-08-01,64.5,63.55,61.5,67.71
36,2017-09-01,64.5,63.55,61.5,67.71
37,2017-10-01,62.6,58.25,59.87,67.71
38,2017-11-01,62.6,58.25,59.87,67.71
39,2017-12-01,62.6,58.25,59.87,67.71
40,2018-01-01,62.84,58.25,62.29,66.2
41,2018-02-01,64.71,60.25,64.94,67.3
42,2018-03-01,64.71,60.25,64.94,67.3
43,2018-04-01,64.71,60.25,64.94,67.3
44,2018-05-01,64.71,60.25,64.94,67.3
45,2018-06-01,64.71,60.25,64.94,67.3
46,2018-07-01,64.71,60.25,64.94,67.3
47,2018-08-01,64.71,60.25,64.94,67.3
48,2018-09-01,64.43,60.25,64.94,66.59
49,2018-10-01,64.65,61.15,64.94,66.59
50,2018-11-01,64.85,61.95,64.94,66.59
51,2018-12-01,64.85,61.95,64.94,66.59
52,2019-01-01,64.85,61.95,64.94,66.59
53,2019-02-01,64.85,61.95,64.94,66.59
54,2019-03-01,64.85,61.95,64.94,66.59
55,2019-04-01,64.85,61.95,64.94,66.59
56,2019-05-01,64.85,61.95,64.94,66.59
57,2019-06-01,61.63,60.95,68.36,56.15
58,2019-07-01,60.86,60.05,66.81,56.15
59,2019-08-01,60.86,60.05,66.81,56.15
60,2019-09-01,60.86,60.05,66.81,56.15
61,2019-10-01,60.86,60.05,66.81,56.15
62,2019-11-01,60.86,60.05,66.81,56.15
63,2019-12-01,60.15,59.65,64.38,56.76
64,2020-01-01,12.33,5.59,0.02,6.73
65,2020-02-01,12.56,5.83,0.02,6.71
66,2020-03-01,12.56,5.83,0.02,6.71
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,12.56,5.83,0.02,6.71
71,2020-08-01,12.44,5.72,0.02,6.71
72,2020-09-01,,,,
73,2020-10-01,12.46,5.74,0.02,6.71
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,12.46,5.74,0.02,6.71
77,2021-02-01,12.46,5.74,0.02,6.71
78,2021-03-01,12.29,5.74,0.05,6.5
79,2021-04-01,,,,
80,2021-05-01,12.29,5.74,0.05,6.5
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,10.44,5.07,0.05,5.33
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,10.44,5.07,0.05,5.33
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,10.44,5.07,0.05,5.33
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,9.36,4.34,0.05,4.97
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,7.11,4.2,0.04,2.88
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,7.08,4.16,0.04,2.88
