,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,66.0,70.0,79.0,52.0
1,2014-10-01,66.0,70.0,79.0,52.0
2,2014-11-01,66.0,70.0,79.0,52.0
3,2014-12-01,66.0,70.0,79.0,52.0
4,2015-01-01,66.0,70.0,79.0,52.0
5,2015-02-01,65.0,69.0,79.0,51.0
6,2015-03-01,68.0,69.0,80.0,56.0
7,2015-04-01,68.0,69.0,80.0,56.0
8,2015-05-01,68.0,69.0,80.0,56.0
9,2015-06-01,67.0,69.0,80.0,53.0
10,2015-07-01,67.0,69.0,80.0,53.0
11,2015-08-01,66.0,69.0,80.0,53.0
12,2015-09-01,66.0,69.0,80.0,53.0
13,2015-10-01,66.0,69.0,80.0,53.0
14,2015-11-01,66.0,69.0,80.0,53.0
15,2015-12-01,66.0,69.0,80.0,53.0
16,2016-01-01,66.45,69.49,79.95,52.73
17,2016-02-01,66.45,69.49,79.95,52.73
18,2016-03-01,66.45,69.49,79.95,52.73
19,2016-04-01,63.6,69.49,79.96,45.62
20,2016-05-01,63.6,69.49,79.96,45.62
21,2016-06-01,63.13,70.29,78.03,45.62
22,2016-07-01,63.26,70.29,78.39,45.62
23,2016-08-01,63.26,70.29,78.39,45.62
24,2016-09-01,63.26,70.29,78.41,45.62
25,2016-10-01,63.26,70.29,78.41,45.62
26,2016-11-01,63.26,70.29,78.41,45.62
27,2016-12-01,63.26,70.29,78.41,45.62
28,2017-01-01,63.26,70.29,78.41,45.62
29,2017-02-01,63.26,70.29,78.41,45.62
30,2017-03-01,63.26,70.29,78.41,45.62
31,2017-04-01,63.26,70.29,78.41,45.62
32,2017-05-01,62.63,67.25,78.77,45.62
33,2017-06-01,62.63,67.25,78.77,45.62
34,2017-07-01,63.39,70.29,78.77,45.62
35,2017-08-01,61.26,68.45,75.91,43.96
36,2017-09-01,61.26,68.45,75.91,43.96
37,2017-10-01,61.63,67.15,75.8,45.79
38,2017-11-01,61.63,67.15,75.8,45.79
39,2017-12-01,61.63,67.15,75.8,45.79
40,2018-01-01,61.63,67.15,75.8,45.79
41,2018-02-01,61.63,67.15,75.8,45.79
42,2018-03-01,61.63,67.15,75.8,45.79
43,2018-04-01,61.63,67.15,75.8,45.79
44,2018-05-01,61.63,67.15,75.8,45.79
45,2018-06-01,61.63,67.15,75.8,45.79
46,2018-07-01,61.63,67.15,75.8,45.79
47,2018-08-01,61.63,67.15,75.8,45.79
48,2018-09-01,68.48,69.48,83.59,54.65
49,2018-10-01,68.48,69.48,83.59,54.65
50,2018-11-01,68.28,68.68,83.59,54.65
51,2018-12-01,68.28,68.68,83.59,54.65
52,2019-01-01,68.28,68.68,83.59,54.65
53,2019-02-01,68.28,68.68,83.59,54.65
54,2019-03-01,68.16,68.68,83.23,54.65
55,2019-04-01,68.16,68.68,83.23,54.65
56,2019-05-01,68.16,68.68,83.23,54.65
57,2019-06-01,68.16,68.68,83.23,54.65
58,2019-07-01,68.16,68.68,83.23,54.65
59,2019-08-01,68.16,68.68,83.23,54.65
60,2019-09-01,68.79,68.68,83.31,56.14
61,2019-10-01,68.81,68.78,83.31,56.14
62,2019-11-01,66.27,65.28,76.89,57.6
63,2019-12-01,13.36,3.55,3.06,6.75
64,2020-01-01,13.36,3.55,3.06,6.75
65,2020-02-01,13.36,3.55,3.06,6.75
66,2020-03-01,13.36,3.55,3.06,6.75
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,13.44,3.55,3.14,6.75
71,2020-08-01,13.35,3.55,3.14,6.66
72,2020-09-01,,,,
73,2020-10-01,13.37,3.57,3.14,6.66
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,11.46,3.54,3.07,4.85
77,2021-02-01,11.62,3.7,3.07,4.85
78,2021-03-01,11.62,3.7,3.07,4.85
79,2021-04-01,,,,
80,2021-05-01,11.62,3.7,3.07,4.85
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,11.45,3.52,3.07,4.85
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,11.45,3.52,3.07,4.85
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,12.56,3.54,3.4,5.62
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,12.54,3.63,3.4,5.51
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,12.64,3.76,3.32,5.56
