,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,60.0,56.0,66.0,57.0
1,2014-10-01,65.0,56.0,73.0,65.0
2,2014-11-01,65.0,56.0,73.0,65.0
3,2014-12-01,65.0,56.0,73.0,65.0
4,2015-01-01,63.0,53.0,73.0,65.0
5,2015-02-01,63.0,53.0,73.0,65.0
6,2015-03-01,63.0,53.0,72.0,65.0
7,2015-04-01,63.0,53.0,72.0,65.0
8,2015-05-01,63.0,53.0,72.0,65.0
9,2015-06-01,63.0,53.0,72.0,65.0
10,2015-07-01,63.0,53.0,72.0,65.0
11,2015-08-01,63.0,53.0,72.0,65.0
12,2015-09-01,63.0,53.0,72.0,65.0
13,2015-10-01,63.0,53.0,72.0,65.0
14,2015-11-01,63.0,53.0,72.0,65.0
15,2015-12-01,63.0,53.0,72.0,65.0
16,2016-01-01,57.41,51.03,58.83,62.57
17,2016-02-01,57.41,51.03,58.83,62.57
18,2016-03-01,57.41,51.03,58.83,62.57
19,2016-04-01,58.08,53.75,60.08,61.34
20,2016-05-01,58.08,53.75,60.08,61.34
21,2016-06-01,56.94,53.75,60.08,57.78
22,2016-07-01,56.56,53.75,58.83,57.78
23,2016-08-01,56.56,53.75,58.83,57.78
24,2016-09-01,55.8,53.75,58.83,55.4
25,2016-10-01,55.8,53.75,58.83,55.4
26,2016-11-01,55.8,53.75,58.83,55.4
27,2016-12-01,55.8,53.75,58.83,55.4
28,2017-01-01,55.8,53.75,58.83,55.4
29,2017-02-01,55.8,53.75,58.83,55.4
30,2017-03-01,57.32,57.75,58.83,55.4
31,2017-04-01,57.32,57.75,58.83,55.4
32,2017-05-01,57.11,59.71,54.92,56.09
33,2017-06-01,57.06,59.71,54.75,56.09
34,2017-07-01,57.11,59.71,54.92,56.09
35,2017-08-01,57.06,59.71,54.75,56.09
36,2017-09-01,57.06,59.71,54.75,56.09
37,2017-10-01,57.22,59.33,54.33,57.41
38,2017-11-01,57.22,59.33,54.33,57.41
39,2017-12-01,57.22,59.33,54.33,57.41
40,2018-01-01,57.22,59.33,54.33,57.41
41,2018-02-01,57.3,59.54,54.33,57.41
42,2018-03-01,57.3,59.54,54.33,57.41
43,2018-04-01,57.3,59.54,54.33,57.41
44,2018-05-01,57.3,59.54,54.33,57.41
45,2018-06-01,57.3,59.54,54.33,57.41
46,2018-07-01,68.31,68.03,69.67,67.37
47,2018-08-01,68.41,68.28,69.67,67.37
48,2018-09-01,68.41,68.28,69.67,67.37
49,2018-10-01,68.36,68.28,69.67,67.22
50,2018-11-01,68.26,68.03,69.67,67.22
51,2018-12-01,68.26,68.03,69.67,67.22
52,2019-01-01,68.26,68.03,69.67,67.22
53,2019-02-01,68.26,68.03,69.67,67.22
54,2019-03-01,68.26,68.03,69.67,67.22
55,2019-04-01,68.26,68.03,69.67,67.22
56,2019-05-01,68.26,68.03,69.67,67.22
57,2019-06-01,68.26,68.03,69.67,67.22
58,2019-07-01,68.26,68.03,69.67,67.22
59,2019-08-01,68.26,68.03,69.67,67.22
60,2019-09-01,68.26,68.03,69.67,67.22
61,2019-10-01,68.26,68.03,69.67,67.22
62,2019-11-01,68.86,70.79,68.17,67.22
63,2019-12-01,67.01,70.51,62.34,67.22
64,2020-01-01,20.55,10.5,1.48,8.58
65,2020-02-01,20.55,10.5,1.48,8.58
66,2020-03-01,20.55,10.5,1.48,8.58
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,20.55,10.5,1.48,8.58
71,2020-08-01,20.56,10.51,1.48,8.58
72,2020-09-01,,,,
73,2020-10-01,20.59,10.54,1.48,8.58
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,18.74,9.64,1.65,7.45
77,2021-02-01,18.74,9.64,1.65,7.45
78,2021-03-01,18.74,9.64,1.65,7.45
79,2021-04-01,,,,
80,2021-05-01,18.74,9.64,1.65,7.45
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,18.4,9.44,1.65,7.31
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,16.38,8.53,1.5,6.34
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,16.38,8.53,1.5,6.34
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,16.17,8.68,1.5,5.99
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,16.17,8.67,1.5,5.99
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,16.63,7.58,1.81,7.24
