,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,49.0,56.0,48.0,45.0
1,2014-10-01,49.0,56.0,48.0,45.0
2,2014-11-01,49.0,56.0,48.0,45.0
3,2014-12-01,49.0,56.0,48.0,45.0
4,2015-01-01,49.0,56.0,48.0,45.0
5,2015-02-01,49.0,56.0,48.0,45.0
6,2015-03-01,49.0,56.0,48.0,45.0
7,2015-04-01,49.0,56.0,48.0,45.0
8,2015-05-01,49.0,56.0,48.0,45.0
9,2015-06-01,49.0,56.0,48.0,45.0
10,2015-07-01,49.0,56.0,48.0,45.0
11,2015-08-01,49.0,56.0,48.0,45.0
12,2015-09-01,49.0,56.0,48.0,45.0
13,2015-10-01,49.0,54.0,48.0,45.0
14,2015-11-01,49.0,54.0,48.0,45.0
15,2015-12-01,49.0,54.0,48.0,45.0
16,2016-01-01,48.63,54.2,48.0,45.27
17,2016-02-01,48.63,54.2,48.0,45.27
18,2016-03-01,48.63,54.2,48.0,45.27
19,2016-04-01,47.84,54.2,48.0,43.51
20,2016-05-01,47.84,54.2,48.0,43.51
21,2016-06-01,47.84,54.2,48.0,43.51
22,2016-07-01,47.84,54.2,48.0,43.51
23,2016-08-01,47.84,54.2,48.0,43.51
24,2016-09-01,47.84,54.2,48.0,43.51
25,2016-10-01,47.84,54.2,48.0,43.51
26,2016-11-01,47.84,54.2,48.0,43.51
27,2016-12-01,47.84,54.2,48.0,43.51
28,2017-01-01,48.71,52.95,50.6,44.82
29,2017-02-01,48.71,52.95,50.6,44.82
30,2017-03-01,48.71,52.95,50.6,44.82
31,2017-04-01,48.71,52.95,50.6,44.82
32,2017-05-01,48.71,52.95,50.6,44.82
33,2017-06-01,48.71,52.95,50.6,44.82
34,2017-07-01,48.71,52.95,50.6,44.82
35,2017-08-01,48.71,52.95,50.6,44.82
36,2017-09-01,50.05,54.62,52.6,45.58
37,2017-10-01,50.09,52.2,53.8,46.62
38,2017-11-01,50.09,52.2,53.8,46.62
39,2017-12-01,50.09,52.2,53.8,46.62
40,2018-01-01,50.09,52.2,53.8,46.62
41,2018-02-01,50.09,52.2,53.8,46.62
42,2018-03-01,50.09,52.2,53.8,46.62
43,2018-04-01,50.09,52.2,53.8,46.62
44,2018-05-01,50.09,52.2,53.8,46.62
45,2018-06-01,50.08,52.33,53.8,46.51
46,2018-07-01,50.08,52.33,53.8,46.51
47,2018-08-01,50.08,52.33,53.8,46.51
48,2018-09-01,50.08,52.33,53.8,46.51
49,2018-10-01,51.15,52.08,58.4,46.51
50,2018-11-01,50.85,52.42,58.4,45.62
51,2018-12-01,50.85,52.42,58.4,45.62
52,2019-01-01,50.85,52.42,58.4,45.62
53,2019-02-01,50.85,52.42,58.4,45.62
54,2019-03-01,51.13,53.33,58.4,45.62
55,2019-04-01,51.13,53.33,58.4,45.62
56,2019-05-01,51.09,53.2,58.4,45.62
57,2019-06-01,50.14,53.2,58.4,43.51
58,2019-07-01,49.74,53.2,56.8,43.51
59,2019-08-01,49.74,53.2,56.8,43.51
60,2019-09-01,49.74,53.2,56.8,43.51
61,2019-10-01,49.74,53.2,56.8,43.51
62,2019-11-01,48.98,50.67,56.8,43.51
63,2019-12-01,47.72,51.17,51.17,43.51
64,2020-01-01,36.42,11.35,4.71,20.36
65,2020-02-01,36.42,11.35,4.71,20.36
66,2020-03-01,36.42,11.35,4.71,20.36
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,30.58,11.86,4.45,14.28
71,2020-08-01,30.58,11.86,4.45,14.28
72,2020-09-01,,,,
73,2020-10-01,30.6,11.88,4.45,14.28
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,30.6,11.88,4.45,14.28
77,2021-02-01,30.6,11.88,4.45,14.28
78,2021-03-01,30.45,11.72,4.45,14.28
79,2021-04-01,,,,
80,2021-05-01,30.45,11.72,4.45,14.28
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,30.45,11.72,4.45,14.28
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,28.58,10.52,4.79,13.27
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,28.58,10.52,4.79,13.27
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,28.58,10.52,4.79,13.27
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,28.24,10.18,4.79,13.27
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,25.0,8.35,4.57,12.08
