,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,23.54,6.2,0.1,17.24
65,2020-02-01,23.54,6.2,0.1,17.24
66,2020-03-01,23.54,6.2,0.1,17.24
70,2020-07-01,22.89,5.55,0.1,17.24
71,2020-08-01,22.89,5.55,0.1,17.24
73,2020-10-01,23.21,5.57,0.1,17.54
76,2021-01-01,23.21,5.57,0.1,17.54
77,2021-02-01,23.16,5.52,0.1,17.54
78,2021-03-01,23.16,5.52,0.1,17.54
80,2021-05-01,22.65,5.42,0.1,17.13
89,2022-02-01,22.88,6.31,0.01,16.57
92,2022-05-01,22.88,6.31,0.01,16.57
95,2022-08-01,22.37,5.94,0.01,16.43
108,2023-09-01,22.47,5.74,0.01,16.71
