,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,74.0,58.0,84.0,76.0
1,2014-10-01,74.0,58.0,84.0,76.0
2,2014-11-01,74.0,58.0,84.0,76.0
3,2014-12-01,75.0,58.0,86.0,78.0
4,2015-01-01,77.0,58.0,86.0,82.0
5,2015-02-01,77.0,58.0,86.0,82.0
6,2015-03-01,76.0,58.0,84.0,82.0
7,2015-04-01,76.0,58.0,84.0,81.0
8,2015-05-01,76.0,58.0,84.0,81.0
9,2015-06-01,76.0,58.0,84.0,81.0
10,2015-07-01,76.0,58.0,84.0,81.0
11,2015-08-01,76.0,58.0,84.0,80.0
12,2015-09-01,75.0,58.0,84.0,79.0
13,2015-10-01,75.0,58.0,84.0,79.0
14,2015-11-01,75.0,58.0,84.0,79.0
15,2015-12-01,75.0,58.0,84.0,79.0
16,2016-01-01,75.11,57.85,84.16,78.67
17,2016-02-01,75.36,57.85,86.66,77.56
18,2016-03-01,75.36,57.85,86.66,77.56
19,2016-04-01,73.12,57.85,86.67,72.57
20,2016-05-01,73.12,57.85,86.67,72.57
21,2016-06-01,73.12,57.85,86.67,72.57
22,2016-07-01,72.62,57.85,85.0,72.57
23,2016-08-01,72.55,57.85,84.77,72.57
24,2016-09-01,72.55,57.85,84.77,72.57
25,2016-10-01,72.55,57.85,84.77,72.57
26,2016-11-01,72.55,57.85,84.77,72.57
27,2016-12-01,73.05,59.85,84.77,72.57
28,2017-01-01,72.55,59.85,84.77,71.45
29,2017-02-01,72.55,59.85,84.77,71.45
30,2017-03-01,72.55,59.85,84.77,71.45
31,2017-04-01,72.55,59.85,84.77,71.45
32,2017-05-01,73.05,59.85,86.43,71.45
33,2017-06-01,73.05,59.85,86.43,71.45
34,2017-07-01,73.05,59.85,86.43,71.45
35,2017-08-01,74.82,64.65,86.43,72.72
36,2017-09-01,76.38,63.85,86.43,76.64
37,2017-10-01,76.26,59.65,86.43,78.7
38,2017-11-01,76.26,59.65,86.43,78.7
39,2017-12-01,76.26,59.65,86.43,78.7
40,2018-01-01,76.26,59.65,86.43,78.7
41,2018-02-01,76.26,59.65,86.43,78.7
42,2018-03-01,76.26,59.65,86.43,78.7
43,2018-04-01,76.26,59.65,86.43,78.7
44,2018-05-01,76.26,59.65,86.43,78.7
45,2018-06-01,76.26,59.65,86.43,78.7
46,2018-07-01,76.26,59.65,86.43,78.7
47,2018-08-01,76.26,59.65,86.43,78.7
48,2018-09-01,76.26,59.65,86.43,78.7
49,2018-10-01,74.47,59.85,87.27,74.05
50,2018-11-01,74.47,59.85,87.27,74.05
51,2018-12-01,74.47,59.85,87.27,74.05
52,2019-01-01,74.47,59.85,87.27,74.05
53,2019-02-01,74.47,59.85,87.27,74.05
54,2019-03-01,74.47,59.85,87.27,74.05
55,2019-04-01,74.47,59.85,87.27,74.05
56,2019-05-01,74.02,63.25,87.27,71.16
57,2019-06-01,74.02,63.25,87.27,71.16
58,2019-07-01,74.27,63.25,88.1,71.16
59,2019-08-01,74.27,63.25,88.1,71.16
60,2019-09-01,74.27,63.25,88.1,71.16
61,2019-10-01,74.34,63.25,88.33,71.16
62,2019-11-01,74.46,62.75,89.17,71.16
63,2019-12-01,17.58,7.25,0.41,9.93
64,2020-01-01,17.58,7.25,0.41,9.93
65,2020-02-01,17.58,7.25,0.41,9.93
66,2020-03-01,17.58,7.25,0.41,9.93
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,17.58,7.25,0.41,9.93
71,2020-08-01,17.58,7.25,0.41,9.93
72,2020-09-01,,,,
73,2020-10-01,17.73,7.25,0.41,10.08
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,17.88,7.39,0.41,10.08
77,2021-02-01,17.88,7.39,0.41,10.08
78,2021-03-01,17.88,7.39,0.41,10.08
79,2021-04-01,,,,
80,2021-05-01,17.99,7.5,0.41,10.08
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,14.59,7.46,0.47,6.67
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,14.77,7.64,0.47,6.67
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,14.77,7.64,0.47,6.67
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,14.77,7.64,0.47,6.67
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,14.14,6.14,1.78,6.22
