,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,24.86,8.07,10.92,5.87
65,2020-02-01,24.86,8.07,10.92,5.87
66,2020-03-01,24.86,8.07,10.92,5.87
70,2020-07-01,24.84,8.21,10.76,5.87
71,2020-08-01,24.17,7.54,10.76,5.87
73,2020-10-01,24.2,7.57,10.76,5.87
76,2021-01-01,24.2,7.57,10.76,5.87
77,2021-02-01,24.2,7.57,10.76,5.87
78,2021-03-01,24.2,7.57,10.76,5.87
80,2021-05-01,24.36,7.57,10.92,5.87
84,2021-09-01,22.82,6.71,10.39,5.73
89,2022-02-01,22.82,6.71,10.39,5.73
92,2022-05-01,22.82,6.71,10.39,5.73
95,2022-08-01,22.31,6.5,10.39,5.42
100,2023-01-01,22.31,6.5,10.39,5.42
108,2023-09-01,22.69,6.63,10.49,5.57
