,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,48.0,63.0,42.0,42.0
1,2014-10-01,48.0,63.0,42.0,42.0
2,2014-11-01,48.0,63.0,42.0,42.0
3,2014-12-01,48.0,63.0,42.0,42.0
4,2015-01-01,48.0,63.0,42.0,42.0
5,2015-02-01,48.0,63.0,42.0,42.0
6,2015-03-01,48.0,63.0,42.0,42.0
7,2015-04-01,48.0,63.0,42.0,42.0
8,2015-05-01,48.0,63.0,42.0,42.0
9,2015-06-01,46.0,53.0,54.0,37.0
10,2015-07-01,46.0,53.0,51.0,37.0
11,2015-08-01,46.0,53.0,51.0,37.0
12,2015-09-01,46.0,53.0,51.0,37.0
13,2015-10-01,46.0,53.0,51.0,37.0
14,2015-11-01,46.0,53.0,51.0,37.0
15,2015-12-01,46.0,53.0,51.0,38.0
16,2016-01-01,45.62,53.48,50.8,37.5
17,2016-02-01,45.62,53.48,50.8,37.5
18,2016-03-01,45.62,53.48,50.8,37.5
19,2016-04-01,45.11,53.48,50.35,36.62
20,2016-05-01,45.11,53.48,50.35,36.62
21,2016-06-01,45.11,53.48,50.35,36.62
22,2016-07-01,47.33,60.32,51.87,36.16
23,2016-08-01,47.33,60.32,51.87,36.16
24,2016-09-01,47.33,60.32,51.87,36.16
25,2016-10-01,47.33,60.32,51.87,36.16
26,2016-11-01,47.33,60.32,51.87,36.16
27,2016-12-01,47.33,60.32,51.87,36.16
28,2017-01-01,48.02,65.32,48.61,36.16
29,2017-02-01,48.02,65.32,48.61,36.16
30,2017-03-01,48.02,65.32,48.61,36.16
31,2017-04-01,48.02,65.32,48.61,36.16
32,2017-05-01,48.02,65.32,48.61,36.16
33,2017-06-01,48.02,65.32,48.61,36.16
34,2017-07-01,48.02,65.32,48.61,36.16
35,2017-08-01,48.02,65.32,48.61,36.16
36,2017-09-01,48.52,66.98,48.61,36.16
37,2017-10-01,48.02,63.05,51.21,36.22
38,2017-11-01,48.02,63.05,51.21,36.22
39,2017-12-01,48.02,63.05,51.21,36.22
40,2018-01-01,48.02,63.05,51.21,36.22
41,2018-02-01,48.02,63.05,51.21,36.22
42,2018-03-01,48.02,63.05,51.21,36.22
43,2018-04-01,48.02,63.05,51.21,36.22
44,2018-05-01,48.02,63.05,51.21,36.22
45,2018-06-01,48.46,64.52,51.21,36.22
46,2018-07-01,48.46,64.52,51.21,36.22
47,2018-08-01,48.46,64.52,51.21,36.22
48,2018-09-01,48.46,64.52,51.21,36.22
49,2018-10-01,48.46,64.52,51.21,36.22
50,2018-11-01,48.46,64.52,51.21,36.22
51,2018-12-01,48.46,64.52,51.21,36.22
52,2019-01-01,48.46,64.52,51.21,36.22
53,2019-02-01,48.46,64.52,51.21,36.22
54,2019-03-01,48.46,64.52,51.21,36.22
55,2019-04-01,48.41,64.37,51.21,36.22
56,2019-05-01,48.27,63.9,51.21,36.22
57,2019-06-01,50.18,63.48,55.25,38.49
58,2019-07-01,50.18,63.48,55.25,38.49
59,2019-08-01,50.18,63.48,55.25,38.49
60,2019-09-01,50.18,63.48,55.25,38.49
61,2019-10-01,50.18,63.48,55.25,38.49
62,2019-11-01,50.18,63.48,55.25,38.49
63,2019-12-01,50.52,63.18,54.55,39.83
64,2020-01-01,28.02,7.78,0.13,20.1
65,2020-02-01,28.02,7.78,0.13,20.1
66,2020-03-01,27.73,7.49,0.13,20.1
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,27.73,7.49,0.13,20.1
71,2020-08-01,27.73,7.49,0.13,20.1
72,2020-09-01,,,,
73,2020-10-01,25.9,7.56,0.11,18.23
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,26.01,7.64,0.11,18.26
77,2021-02-01,26.01,7.64,0.11,18.26
78,2021-03-01,26.01,7.64,0.11,18.26
79,2021-04-01,,,,
80,2021-05-01,26.01,7.64,0.11,18.26
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,26.01,7.64,0.11,18.26
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,25.74,7.38,0.11,18.26
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,23.8,6.8,1.45,15.55
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,23.8,6.8,1.45,15.55
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,24.12,7.11,1.45,15.55
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,24.76,7.41,1.06,16.3
