,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,61.0,72.0,55.0,59.0
1,2014-10-01,61.0,72.0,55.0,59.0
2,2014-11-01,61.0,72.0,55.0,59.0
3,2014-12-01,61.0,72.0,55.0,59.0
4,2015-01-01,62.0,73.0,56.0,59.0
5,2015-02-01,62.0,73.0,56.0,59.0
6,2015-03-01,61.0,73.0,55.0,59.0
7,2015-04-01,61.0,73.0,55.0,59.0
8,2015-05-01,61.0,73.0,55.0,59.0
9,2015-06-01,61.0,73.0,55.0,59.0
10,2015-07-01,61.0,73.0,55.0,59.0
11,2015-08-01,61.0,73.0,55.0,59.0
12,2015-09-01,61.0,73.0,55.0,59.0
13,2015-10-01,61.0,73.0,55.0,59.0
14,2015-11-01,61.0,70.0,55.0,59.0
15,2015-12-01,62.0,75.0,55.0,59.0
16,2016-01-01,61.61,74.6,54.86,58.5
17,2016-02-01,61.61,74.6,54.86,58.5
18,2016-03-01,61.61,74.6,54.86,58.5
19,2016-04-01,60.33,78.6,54.46,54.12
20,2016-05-01,60.33,78.6,54.46,54.12
21,2016-06-01,60.33,78.6,54.46,54.12
22,2016-07-01,60.33,78.6,54.46,54.12
23,2016-08-01,60.33,78.6,54.46,54.12
24,2016-09-01,60.33,78.6,54.46,54.12
25,2016-10-01,60.33,78.6,54.46,54.12
26,2016-11-01,60.33,78.6,54.46,54.12
27,2016-12-01,60.33,78.6,54.46,54.12
28,2017-01-01,56.16,80.1,50.76,46.89
29,2017-02-01,56.16,80.1,50.76,46.89
30,2017-03-01,56.16,80.1,50.76,46.89
31,2017-04-01,56.16,80.1,50.76,46.89
32,2017-05-01,55.96,80.1,49.96,46.89
33,2017-06-01,55.96,80.1,49.96,46.89
34,2017-07-01,55.96,80.1,49.96,46.89
35,2017-08-01,55.96,80.1,49.96,46.89
36,2017-09-01,55.96,80.1,49.96,46.89
37,2017-10-01,57.41,78.1,52.82,49.37
38,2017-11-01,57.41,78.1,52.82,49.37
39,2017-12-01,57.41,78.1,52.82,49.37
40,2018-01-01,53.63,72.1,52.62,44.9
41,2018-02-01,59.39,72.1,55.34,55.06
42,2018-03-01,59.39,72.1,55.34,55.06
43,2018-04-01,59.39,72.1,55.34,55.06
44,2018-05-01,59.39,72.1,55.34,55.06
45,2018-06-01,59.39,72.1,55.34,55.06
46,2018-07-01,59.39,72.1,55.34,55.06
47,2018-08-01,59.39,72.1,55.34,55.06
48,2018-09-01,59.39,72.1,55.34,55.06
49,2018-10-01,59.63,72.1,56.3,55.06
50,2018-11-01,59.71,72.42,56.3,55.06
51,2018-12-01,59.71,72.42,56.3,55.06
52,2019-01-01,59.71,72.42,56.3,55.06
53,2019-02-01,59.71,72.42,56.3,55.06
54,2019-03-01,59.47,72.42,55.34,55.06
55,2019-04-01,59.47,72.42,55.34,55.06
56,2019-05-01,59.31,71.78,55.34,55.06
57,2019-06-01,59.85,71.78,57.5,55.06
58,2019-07-01,58.13,71.78,56.8,51.96
59,2019-08-01,58.13,71.78,56.8,51.96
60,2019-09-01,58.13,71.78,56.8,51.96
61,2019-10-01,59.13,71.78,56.8,53.96
62,2019-11-01,59.13,71.78,56.8,53.96
63,2019-12-01,57.46,72.58,54.68,51.29
64,2020-01-01,16.14,6.08,0.05,10.0
65,2020-02-01,16.14,6.08,0.05,10.0
66,2020-03-01,16.14,6.08,0.05,10.0
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,15.9,5.84,0.05,10.0
71,2020-08-01,15.9,5.84,0.05,10.0
72,2020-09-01,,,,
73,2020-10-01,15.92,5.86,0.05,10.0
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,15.92,5.86,0.05,10.0
77,2021-02-01,15.95,5.89,0.05,10.0
78,2021-03-01,15.79,5.95,0.05,9.79
79,2021-04-01,,,,
80,2021-05-01,15.49,6.11,0.05,9.32
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,15.49,6.11,0.05,9.32
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,15.38,6.0,0.05,9.32
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,15.38,6.0,0.05,9.32
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,15.15,5.72,0.12,9.32
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,10.43,5.28,0.04,5.11
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,10.32,5.28,0.04,5.0
