,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,73.0,66.0,75.0,75.0
1,2014-10-01,72.0,66.0,75.0,75.0
2,2014-11-01,73.0,66.0,75.0,75.0
3,2014-12-01,73.0,66.0,75.0,75.0
4,2015-01-01,74.0,69.0,79.0,72.0
5,2015-02-01,74.0,69.0,79.0,72.0
6,2015-03-01,73.0,69.0,80.0,68.0
7,2015-04-01,73.0,69.0,80.0,68.0
8,2015-05-01,73.0,69.0,80.0,68.0
9,2015-06-01,72.0,69.0,80.0,65.0
10,2015-07-01,70.0,66.0,80.0,62.0
11,2015-08-01,70.0,66.0,80.0,62.0
12,2015-09-01,70.0,66.0,80.0,62.0
13,2015-10-01,70.0,66.0,80.0,62.0
14,2015-11-01,71.0,68.0,77.0,68.0
15,2015-12-01,72.0,68.0,77.0,68.0
16,2016-01-01,71.55,68.05,76.91,67.92
17,2016-02-01,71.55,68.05,76.91,67.92
18,2016-03-01,71.55,68.05,76.91,67.92
19,2016-04-01,71.87,68.05,79.04,66.4
20,2016-05-01,71.87,68.05,79.04,66.4
21,2016-06-01,71.87,68.05,79.04,66.4
22,2016-07-01,71.29,68.05,77.59,66.4
23,2016-08-01,71.29,68.05,77.59,66.4
24,2016-09-01,71.29,68.05,77.59,66.4
25,2016-10-01,71.29,68.05,77.59,66.4
26,2016-11-01,69.64,66.05,75.04,66.04
27,2016-12-01,69.64,66.05,75.04,66.04
28,2017-01-01,69.56,66.05,74.83,66.03
29,2017-02-01,69.56,66.05,74.83,66.03
30,2017-03-01,69.56,66.05,74.83,66.03
31,2017-04-01,69.56,66.05,74.83,66.03
32,2017-05-01,69.7,66.05,75.19,66.03
33,2017-06-01,69.7,66.05,75.19,66.03
34,2017-07-01,69.7,66.05,75.19,66.03
35,2017-08-01,69.7,66.05,75.19,66.03
36,2017-09-01,69.7,66.05,75.19,66.03
37,2017-10-01,69.79,64.45,75.83,66.7
38,2017-11-01,69.79,64.45,75.83,66.7
39,2017-12-01,69.79,64.45,75.83,66.7
40,2018-01-01,69.79,64.45,75.83,66.7
41,2018-02-01,69.79,64.45,75.83,66.7
42,2018-03-01,69.79,64.45,75.83,66.7
43,2018-04-01,69.79,64.45,75.83,66.7
44,2018-05-01,69.79,64.45,75.83,66.7
45,2018-06-01,69.79,64.45,75.83,66.7
46,2018-07-01,69.79,64.45,75.83,66.7
47,2018-08-01,69.79,64.45,75.83,66.7
48,2018-09-01,69.79,64.45,75.83,66.7
49,2018-10-01,71.6,69.15,70.04,75.15
50,2018-11-01,71.2,67.55,70.04,75.15
51,2018-12-01,71.15,67.35,70.04,75.15
52,2019-01-01,71.15,67.35,70.04,75.15
53,2019-02-01,71.87,67.35,71.82,75.15
54,2019-03-01,71.87,67.35,71.82,75.15
55,2019-04-01,71.87,67.35,71.82,75.15
56,2019-05-01,71.87,67.35,71.82,75.15
57,2019-06-01,71.87,67.35,71.82,75.15
58,2019-07-01,71.87,67.35,71.82,75.15
59,2019-08-01,72.07,68.15,71.82,75.15
60,2019-09-01,72.07,68.15,71.82,75.15
61,2019-10-01,71.27,64.95,71.82,75.15
62,2019-11-01,71.27,64.95,71.82,75.15
63,2019-12-01,70.57,65.95,69.46,75.15
64,2020-01-01,25.2,6.74,6.76,11.7
65,2020-02-01,25.15,6.74,6.91,11.5
66,2020-03-01,20.68,5.83,3.64,11.22
