,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,53.0,61.0,45.0,53.0
1,2014-10-01,53.0,61.0,45.0,53.0
2,2014-11-01,53.0,61.0,45.0,53.0
3,2014-12-01,53.0,61.0,45.0,53.0
4,2015-01-01,56.0,59.0,44.0,64.0
5,2015-02-01,56.0,59.0,44.0,64.0
6,2015-03-01,56.0,59.0,45.0,64.0
7,2015-04-01,56.0,59.0,45.0,64.0
8,2015-05-01,56.0,59.0,45.0,64.0
9,2015-06-01,56.0,59.0,45.0,64.0
10,2015-07-01,56.0,59.0,45.0,64.0
11,2015-08-01,56.0,59.0,45.0,64.0
12,2015-09-01,56.0,59.0,45.0,64.0
13,2015-10-01,56.0,59.0,44.0,64.0
14,2015-11-01,56.0,59.0,44.0,64.0
15,2015-12-01,58.0,64.0,45.0,62.0
16,2016-01-01,57.72,63.91,45.35,62.13
17,2016-02-01,57.72,63.91,45.35,62.13
18,2016-03-01,57.72,63.91,45.35,62.13
19,2016-04-01,58.11,64.4,45.36,62.59
20,2016-05-01,58.11,64.4,45.36,62.59
21,2016-06-01,57.16,64.4,46.19,58.84
22,2016-07-01,57.66,64.4,47.86,58.84
23,2016-08-01,57.66,64.4,47.86,58.84
24,2016-09-01,57.66,64.4,47.86,58.84
25,2016-10-01,57.66,64.4,47.86,58.84
26,2016-11-01,57.66,64.4,47.86,58.84
27,2016-12-01,57.66,64.4,47.86,58.84
28,2017-01-01,63.49,73.38,65.61,49.79
29,2017-02-01,63.49,73.38,65.61,49.79
30,2017-03-01,63.49,73.38,65.61,49.79
31,2017-04-01,63.49,73.38,65.61,49.79
32,2017-05-01,63.49,73.38,65.61,49.79
33,2017-06-01,63.49,73.38,65.61,49.79
34,2017-07-01,63.49,73.38,65.61,49.79
35,2017-08-01,64.44,73.38,68.77,49.79
36,2017-09-01,64.44,73.38,68.77,49.79
37,2017-10-01,64.76,71.97,69.7,51.6
38,2017-11-01,64.76,71.97,69.7,51.6
39,2017-12-01,64.76,71.97,69.7,51.6
40,2018-01-01,64.76,71.97,69.7,51.6
41,2018-02-01,64.76,71.97,69.7,51.6
42,2018-03-01,64.76,71.97,69.7,51.6
43,2018-04-01,64.76,71.97,69.7,51.6
44,2018-05-01,64.71,71.97,69.7,51.44
45,2018-06-01,64.71,71.97,69.7,51.44
46,2018-07-01,64.71,71.97,69.7,51.44
47,2018-08-01,64.71,71.97,69.7,51.44
48,2018-09-01,64.71,71.97,69.7,51.44
49,2018-10-01,65.03,73.62,68.67,51.44
50,2018-11-01,65.24,74.17,68.67,51.44
51,2018-12-01,65.24,74.17,68.67,51.44
52,2019-01-01,65.24,74.17,68.67,51.44
53,2019-02-01,65.24,74.17,68.67,51.44
54,2019-03-01,65.24,74.17,68.67,51.44
55,2019-04-01,65.24,74.17,68.67,51.44
56,2019-05-01,65.24,74.17,68.67,51.44
57,2019-06-01,65.24,74.17,68.67,51.44
58,2019-07-01,65.24,74.17,68.67,51.44
59,2019-08-01,65.24,74.17,68.67,51.44
60,2019-09-01,65.24,74.17,68.67,51.44
61,2019-10-01,65.24,74.17,68.67,51.44
62,2019-11-01,65.47,71.62,68.67,55.18
63,2019-12-01,64.57,71.2,66.22,55.18
64,2020-01-01,26.04,11.06,1.49,13.49
65,2020-02-01,26.04,11.06,1.49,13.49
66,2020-03-01,26.04,11.06,1.49,13.49
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,26.35,11.37,1.49,13.49
71,2020-08-01,26.35,11.37,1.49,13.49
72,2020-09-01,,,,
73,2020-10-01,25.73,11.4,1.51,12.83
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,25.84,11.14,1.54,13.16
77,2021-02-01,25.84,11.14,1.54,13.16
78,2021-03-01,24.67,9.92,1.98,12.78
79,2021-04-01,,,,
80,2021-05-01,24.67,9.92,1.98,12.78
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,24.67,9.92,1.98,12.78
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,20.28,9.71,0.7,9.87
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,20.42,9.85,0.7,9.87
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,20.42,9.85,0.7,9.87
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,20.33,9.76,0.7,9.87
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,22.79,11.04,0.73,11.02
