,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,24.56,10.72,2.08,11.76
65,2020-02-01,24.56,10.72,2.08,11.76
66,2020-03-01,24.56,10.72,2.08,11.76
70,2020-07-01,24.91,11.07,2.08,11.76
71,2020-08-01,24.91,11.07,2.08,11.76
73,2020-10-01,24.92,11.22,2.18,11.53
76,2021-01-01,24.39,11.24,2.18,10.98
77,2021-02-01,24.39,11.24,2.18,10.98
78,2021-03-01,24.01,10.86,2.18,10.98
80,2021-05-01,24.01,10.86,2.18,10.98
84,2021-09-01,24.01,10.86,2.18,10.98
89,2022-02-01,23.31,10.28,1.89,11.14
92,2022-05-01,23.15,10.28,1.89,10.98
95,2022-08-01,23.15,10.28,1.89,10.98
100,2023-01-01,23.14,10.17,1.89,11.08
108,2023-09-01,21.42,10.66,1.59,9.16
