,timestamp,esgScore,governanceScore,environmentScore,socialScore
51,2020-01-01,9.75,5.44,1.61,2.69
52,2020-02-01,9.75,5.44,1.61,2.69
53,2020-03-01,9.75,5.44,1.61,2.69
57,2020-07-01,9.75,5.75,1.31,2.69
58,2020-08-01,9.75,5.75,1.31,2.69
60,2020-10-01,9.75,5.75,1.31,2.69
63,2021-01-01,9.83,5.83,1.31,2.69
64,2021-02-01,9.83,5.83,1.31,2.69
65,2021-03-01,9.5,5.26,1.85,2.39
67,2021-05-01,9.33,5.03,1.92,2.39
71,2021-09-01,9.35,5.08,2.03,2.24
76,2022-02-01,9.35,5.08,2.03,2.24
79,2022-05-01,9.31,5.04,2.03,2.24
82,2022-08-01,9.42,5.15,2.03,2.24
87,2023-01-01,9.31,5.04,2.03,2.24
95,2023-09-01,7.6,4.65,1.2,1.75
