,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,20.48,6.72,1.21,12.56
65,2020-02-01,20.48,6.72,1.21,12.56
66,2020-03-01,20.48,6.72,1.21,12.56
70,2020-07-01,20.4,6.63,1.21,12.56
71,2020-08-01,20.4,6.63,1.21,12.56
73,2020-10-01,20.27,6.82,1.21,12.25
76,2021-01-01,13.55,5.52,1.31,6.72
77,2021-02-01,13.55,5.52,1.31,6.72
78,2021-03-01,13.55,5.52,1.31,6.72
80,2021-05-01,14.07,6.03,1.31,6.72
84,2021-09-01,14.07,6.03,1.31,6.72
89,2022-02-01,14.07,6.03,1.31,6.72
92,2022-05-01,11.5,5.21,1.29,4.99
95,2022-08-01,11.5,5.21,1.29,4.99
100,2023-01-01,11.67,5.39,1.29,4.99
108,2023-09-01,17.65,5.25,3.37,9.03
