,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,23.49,6.21,7.95,9.33
65,2020-02-01,23.49,6.21,7.95,9.33
66,2020-03-01,23.49,6.21,7.95,9.33
70,2020-07-01,22.64,5.43,7.91,9.3
71,2020-08-01,22.64,5.43,7.91,9.3
73,2020-10-01,22.66,5.45,7.91,9.3
76,2021-01-01,22.66,5.45,7.91,9.3
77,2021-02-01,22.66,5.45,7.91,9.3
78,2021-03-01,22.66,5.45,7.91,9.3
80,2021-05-01,24.34,5.51,9.53,9.3
84,2021-09-01,24.53,5.67,9.53,9.33
89,2022-02-01,24.53,5.67,9.53,9.33
92,2022-05-01,24.53,5.67,9.53,9.33
95,2022-08-01,23.06,5.59,8.89,8.59
100,2023-01-01,23.11,5.47,8.89,8.77
108,2023-09-01,25.36,5.55,11.26,8.55
