,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,49.0,56.0,48.0,45.0
1,2014-10-01,49.0,56.0,48.0,45.0
2,2014-11-01,49.0,56.0,48.0,45.0
3,2014-12-01,49.0,56.0,48.0,45.0
4,2015-01-01,49.0,55.0,48.0,45.0
5,2015-02-01,49.0,55.0,48.0,45.0
6,2015-03-01,49.0,55.0,48.0,45.0
7,2015-04-01,49.0,55.0,48.0,45.0
8,2015-05-01,49.0,55.0,48.0,45.0
9,2015-06-01,49.0,55.0,48.0,45.0
10,2015-07-01,49.0,55.0,48.0,45.0
11,2015-08-01,49.0,55.0,48.0,45.0
12,2015-09-01,49.0,55.0,48.0,45.0
13,2015-10-01,49.0,55.0,48.0,45.0
14,2015-11-01,49.0,57.0,48.0,45.0
15,2015-12-01,49.0,57.0,48.0,45.0
16,2016-01-01,49.44,57.02,48.0,45.19
17,2016-02-01,49.44,57.02,48.0,45.19
18,2016-03-01,49.44,57.02,48.0,45.19
19,2016-04-01,47.92,57.03,48.0,41.81
20,2016-05-01,47.92,57.03,48.0,41.81
21,2016-06-01,47.92,57.03,48.0,41.81
22,2016-07-01,47.92,57.03,48.0,41.81
23,2016-08-01,47.92,57.03,48.0,41.81
24,2016-09-01,47.92,57.03,48.0,41.81
25,2016-10-01,47.92,57.03,48.0,41.81
26,2016-11-01,47.92,57.03,48.0,41.81
27,2016-12-01,47.92,57.03,48.0,41.81
28,2017-01-01,51.52,57.03,48.0,49.8
29,2017-02-01,51.52,57.03,48.0,49.8
30,2017-03-01,51.52,57.03,48.0,49.8
31,2017-04-01,51.52,57.03,48.0,49.8
32,2017-05-01,51.52,57.03,48.0,49.8
33,2017-06-01,51.48,57.03,48.0,49.71
34,2017-07-01,51.52,57.03,48.0,49.8
35,2017-08-01,51.48,57.03,48.0,49.71
36,2017-09-01,50.68,54.36,48.0,49.71
37,2017-10-01,51.29,53.86,49.2,50.75
38,2017-11-01,51.29,53.86,49.2,50.75
39,2017-12-01,51.29,53.86,49.2,50.75
40,2018-01-01,51.24,53.86,51.6,49.3
41,2018-02-01,51.24,53.86,51.6,49.3
42,2018-03-01,51.24,53.86,51.6,49.3
43,2018-04-01,51.24,53.86,51.6,49.3
44,2018-05-01,51.24,53.86,51.6,49.3
45,2018-06-01,51.24,53.86,51.6,49.3
46,2018-07-01,51.24,53.86,51.6,49.3
47,2018-08-01,50.3,53.86,51.6,47.2
48,2018-09-01,50.3,53.86,51.6,47.2
49,2018-10-01,50.3,53.86,51.6,47.2
50,2018-11-01,50.0,52.86,51.6,47.2
51,2018-12-01,49.66,52.86,51.6,46.46
52,2019-01-01,49.66,52.86,51.6,46.46
53,2019-02-01,49.66,52.86,51.6,46.46
54,2019-03-01,49.66,52.86,51.6,46.46
55,2019-04-01,49.66,52.86,51.6,46.46
56,2019-05-01,49.66,52.86,51.6,46.46
57,2019-06-01,49.66,52.86,51.6,46.46
58,2019-07-01,49.66,52.86,51.6,46.46
59,2019-08-01,49.66,52.86,51.6,46.46
60,2019-09-01,49.66,52.86,51.6,46.46
61,2019-10-01,49.66,52.86,51.6,46.46
62,2019-11-01,49.61,52.69,51.6,46.46
63,2019-12-01,48.44,52.11,47.58,46.46
64,2020-01-01,19.71,8.28,0.77,10.66
65,2020-02-01,19.11,7.68,0.77,10.66
66,2020-03-01,19.11,7.68,0.77,10.66
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,19.11,7.68,0.77,10.66
71,2020-08-01,15.26,7.02,0.67,7.57
72,2020-09-01,,,,
73,2020-10-01,15.26,7.02,0.67,7.57
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,15.36,7.02,0.67,7.67
77,2021-02-01,15.29,6.94,0.67,7.67
78,2021-03-01,15.29,6.94,0.67,7.67
79,2021-04-01,,,,
80,2021-05-01,15.29,6.94,0.67,7.67
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,15.29,6.94,0.67,7.67
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,15.53,7.19,0.67,7.67
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,19.68,7.39,0.73,11.56
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,19.04,7.36,0.13,11.55
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,18.81,7.13,0.13,11.55
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,19.74,6.6,0.43,12.71
