,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,69.0,69.0,71.0,67.0
1,2014-10-01,69.0,69.0,71.0,67.0
2,2014-11-01,69.0,69.0,71.0,67.0
3,2014-12-01,71.0,72.0,71.0,71.0
4,2015-01-01,72.0,74.0,72.0,71.0
5,2015-02-01,71.0,74.0,72.0,66.0
6,2015-03-01,69.0,72.0,73.0,63.0
7,2015-04-01,69.0,72.0,73.0,63.0
8,2015-05-01,70.0,74.0,73.0,63.0
9,2015-06-01,70.0,74.0,73.0,63.0
10,2015-07-01,70.0,74.0,73.0,63.0
11,2015-08-01,70.0,74.0,73.0,63.0
12,2015-09-01,70.0,74.0,73.0,63.0
13,2015-10-01,70.0,74.0,73.0,63.0
14,2015-11-01,70.0,74.0,73.0,63.0
15,2015-12-01,71.0,78.0,73.0,64.0
16,2016-01-01,71.33,78.15,73.14,63.67
17,2016-02-01,71.33,78.15,73.14,63.67
18,2016-03-01,71.33,78.15,73.14,63.67
19,2016-04-01,69.97,76.25,73.14,61.41
20,2016-05-01,69.97,76.25,73.14,61.41
21,2016-06-01,69.97,76.25,73.14,61.41
22,2016-07-01,69.27,76.25,72.0,60.55
23,2016-08-01,69.27,76.25,72.0,60.55
24,2016-09-01,69.27,76.25,72.0,60.55
25,2016-10-01,69.27,76.25,72.0,60.55
26,2016-11-01,69.27,76.25,72.0,60.55
27,2016-12-01,69.27,76.25,72.0,60.55
28,2017-01-01,69.29,76.25,72.07,60.55
29,2017-02-01,69.29,76.25,72.07,60.55
30,2017-03-01,68.42,78.75,68.96,59.03
31,2017-04-01,70.0,78.75,73.48,59.03
32,2017-05-01,69.56,78.75,72.22,59.03
33,2017-06-01,69.56,78.75,72.22,59.03
34,2017-07-01,69.56,78.75,72.22,59.03
35,2017-08-01,69.56,78.75,72.22,59.03
36,2017-09-01,69.56,78.75,72.22,59.03
37,2017-10-01,67.71,72.33,74.1,57.34
38,2017-11-01,67.71,72.33,74.1,57.34
39,2017-12-01,67.71,72.33,74.1,57.34
40,2018-01-01,67.71,72.33,74.1,57.34
41,2018-02-01,67.71,72.33,74.1,57.34
42,2018-03-01,67.71,72.33,74.1,57.34
43,2018-04-01,67.71,72.33,74.1,57.34
44,2018-05-01,67.71,72.33,74.1,57.34
45,2018-06-01,67.71,72.33,74.1,57.34
46,2018-07-01,67.71,72.33,74.1,57.34
47,2018-08-01,67.71,72.33,74.1,57.34
48,2018-09-01,62.87,64.0,69.71,55.05
49,2018-10-01,63.47,66.0,69.71,55.05
50,2018-11-01,63.37,65.67,69.71,55.05
51,2018-12-01,63.37,65.67,69.71,55.05
52,2019-01-01,63.37,65.67,69.71,55.05
53,2019-02-01,63.37,65.67,69.71,55.05
54,2019-03-01,63.59,65.67,70.34,55.05
55,2019-04-01,63.59,65.67,70.34,55.05
56,2019-05-01,63.55,65.56,70.34,55.05
57,2019-06-01,63.55,65.56,70.34,55.05
58,2019-07-01,63.55,65.56,70.34,55.05
59,2019-08-01,64.86,65.56,70.97,58.16
60,2019-09-01,64.86,65.56,70.97,58.16
61,2019-10-01,65.09,66.31,70.97,58.16
62,2019-11-01,65.09,66.31,70.97,58.16
63,2019-12-01,30.74,7.46,7.29,15.99
64,2020-01-01,30.74,7.46,7.29,15.99
65,2020-02-01,30.61,7.33,7.29,15.99
66,2020-03-01,30.61,7.33,7.29,15.99
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,30.57,7.33,7.16,16.09
71,2020-08-01,30.57,7.33,7.16,16.09
72,2020-09-01,,,,
73,2020-10-01,30.03,6.74,7.16,16.13
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,28.58,7.53,5.27,15.79
77,2021-02-01,28.72,7.67,5.27,15.79
78,2021-03-01,28.72,7.67,5.27,15.79
79,2021-04-01,,,,
80,2021-05-01,28.85,7.84,5.27,15.74
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,28.64,7.42,5.27,15.95
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,28.81,7.61,5.27,15.93
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,28.42,7.2,5.27,15.95
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,28.36,7.2,5.27,15.9
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,30.18,7.11,7.96,15.11
