,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,35.42,6.84,18.53,10.05
65,2020-02-01,35.42,6.84,18.53,10.05
66,2020-03-01,35.42,6.84,18.53,10.05
70,2020-07-01,36.02,6.69,19.28,10.05
71,2020-08-01,28.44,6.46,14.76,7.22
73,2020-10-01,28.44,6.46,14.76,7.22
76,2021-01-01,28.37,6.3,14.68,7.38
77,2021-02-01,28.37,6.3,14.68,7.38
78,2021-03-01,28.37,6.3,14.68,7.38
80,2021-05-01,27.99,6.3,14.3,7.38
84,2021-09-01,22.36,6.67,10.04,5.65
89,2022-02-01,22.36,6.67,10.04,5.65
92,2022-05-01,22.36,6.67,10.04,5.65
95,2022-08-01,21.87,6.18,10.04,5.65
100,2023-01-01,21.87,6.18,10.04,5.65
108,2023-09-01,21.36,6.28,8.54,6.55
