,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,65.0,77.0,69.0,53.0
1,2014-10-01,65.0,77.0,69.0,53.0
2,2014-11-01,65.0,77.0,69.0,53.0
3,2014-12-01,65.0,77.0,69.0,53.0
4,2015-01-01,67.0,77.0,71.0,57.0
5,2015-02-01,67.0,77.0,71.0,57.0
6,2015-03-01,67.0,77.0,71.0,57.0
7,2015-04-01,67.0,77.0,71.0,57.0
8,2015-05-01,67.0,77.0,71.0,57.0
9,2015-06-01,67.0,77.0,71.0,57.0
10,2015-07-01,67.0,77.0,71.0,57.0
11,2015-08-01,67.0,77.0,71.0,57.0
12,2015-09-01,67.0,77.0,71.0,57.0
13,2015-10-01,67.0,76.0,68.0,59.0
14,2015-11-01,67.0,76.0,68.0,59.0
15,2015-12-01,67.0,76.0,68.0,59.0
16,2016-01-01,66.75,76.4,68.41,59.28
17,2016-02-01,66.75,76.4,68.41,59.28
18,2016-03-01,66.75,76.4,68.41,59.28
19,2016-04-01,66.26,76.4,68.42,58.04
20,2016-05-01,66.26,76.4,68.42,58.04
21,2016-06-01,66.26,76.4,68.42,58.04
22,2016-07-01,66.54,76.4,69.21,58.04
23,2016-08-01,66.54,76.4,69.21,58.04
24,2016-09-01,66.54,76.4,69.21,58.04
25,2016-10-01,66.5,76.24,69.21,58.04
26,2016-11-01,66.5,76.24,69.21,58.04
27,2016-12-01,66.5,76.24,69.21,58.04
28,2017-01-01,62.8,76.24,61.47,55.56
29,2017-02-01,62.8,76.24,61.47,55.56
30,2017-03-01,58.32,69.99,58.39,50.97
31,2017-04-01,58.32,69.99,58.39,50.97
32,2017-05-01,57.75,69.99,56.77,50.97
33,2017-06-01,57.75,69.99,56.77,50.97
34,2017-07-01,57.75,69.99,56.77,50.97
35,2017-08-01,57.75,69.99,56.77,50.97
36,2017-09-01,57.75,69.99,56.77,50.97
37,2017-10-01,57.74,65.59,57.96,52.65
38,2017-11-01,57.74,65.59,57.96,52.65
39,2017-12-01,57.74,65.59,57.96,52.65
40,2018-01-01,57.74,65.59,57.96,52.65
41,2018-02-01,57.74,65.59,57.96,52.65
42,2018-03-01,57.74,65.59,57.96,52.65
43,2018-04-01,57.74,65.59,57.96,52.65
44,2018-05-01,57.74,65.59,57.96,52.65
45,2018-06-01,57.74,65.59,57.96,52.65
46,2018-07-01,57.74,65.59,57.96,52.65
47,2018-08-01,57.71,65.59,57.96,52.58
48,2018-09-01,57.71,65.59,57.96,52.58
49,2018-10-01,57.71,65.59,57.96,52.58
50,2018-11-01,55.52,67.59,46.33,56.02
51,2018-12-01,55.52,67.59,46.33,56.02
52,2019-01-01,55.52,67.59,46.33,56.02
53,2019-02-01,55.52,67.59,46.33,56.02
54,2019-03-01,54.62,67.59,43.76,56.02
55,2019-04-01,54.62,67.59,43.76,56.02
56,2019-05-01,54.62,67.59,43.76,56.02
57,2019-06-01,54.62,67.59,43.76,56.02
58,2019-07-01,54.62,67.59,43.76,56.02
59,2019-08-01,54.66,67.75,43.76,56.02
60,2019-09-01,54.62,67.59,43.76,56.02
61,2019-10-01,54.62,67.59,43.76,56.02
62,2019-11-01,51.96,65.49,44.61,49.92
63,2019-12-01,50.62,65.29,39.96,50.79
64,2020-01-01,32.07,6.43,9.72,15.92
65,2020-02-01,32.07,6.43,9.72,15.92
66,2020-03-01,32.07,6.43,9.72,15.92
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,31.92,6.21,9.72,15.99
71,2020-08-01,31.92,6.21,9.72,15.99
72,2020-09-01,,,,
73,2020-10-01,31.94,6.23,9.72,15.99
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,31.89,6.18,9.72,15.99
77,2021-02-01,31.43,6.05,10.14,15.24
78,2021-03-01,31.43,6.05,10.14,15.24
79,2021-04-01,,,,
80,2021-05-01,31.03,5.66,10.14,15.24
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,,,,
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,32.39,6.21,11.29,14.89
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,32.39,6.21,11.29,14.89
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,32.39,6.21,11.29,14.89
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,30.67,5.95,11.04,13.69
