,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,19.27,8.28,1.58,9.4
65,2020-02-01,19.27,8.28,1.58,9.4
66,2020-03-01,19.05,8.07,1.58,9.4
70,2020-07-01,18.73,7.87,1.43,9.43
71,2020-08-01,18.73,7.87,1.43,9.43
73,2020-10-01,18.73,8.69,1.94,8.1
76,2021-01-01,18.73,8.69,1.94,8.1
77,2021-02-01,18.68,8.65,1.94,8.1
78,2021-03-01,18.68,8.65,1.94,8.1
80,2021-05-01,18.36,8.65,1.61,8.1
84,2021-09-01,18.36,8.65,1.61,8.1
89,2022-02-01,17.92,8.33,1.61,7.98
92,2022-05-01,17.69,8.65,1.28,7.76
95,2022-08-01,17.69,8.65,1.28,7.76
108,2023-09-01,18.69,8.67,2.3,7.72
