,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,25.5,7.1,15.6,2.8
65,2020-02-01,25.5,7.1,15.6,2.8
66,2020-03-01,25.5,7.1,15.6,2.8
70,2020-07-01,26.18,7.1,16.28,2.8
71,2020-08-01,26.18,7.1,16.28,2.8
73,2020-10-01,26.21,7.12,16.28,2.8
76,2021-01-01,26.2,7.12,16.28,2.8
77,2021-02-01,26.2,7.12,16.28,2.8
78,2021-03-01,26.2,7.12,16.28,2.8
80,2021-05-01,26.3,7.07,16.43,2.8
84,2021-09-01,26.75,7.07,16.48,3.21
89,2022-02-01,24.89,6.12,16.64,2.13
92,2022-05-01,24.89,6.12,16.64,2.13
95,2022-08-01,24.59,5.82,16.64,2.13
108,2023-09-01,20.69,5.09,13.5,2.1
