,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2016-11-01,46.24,50.79,47.13,40.5
1,2016-12-01,46.24,50.79,47.13,40.5
2,2017-01-01,46.24,50.79,47.13,40.5
3,2017-02-01,46.24,50.79,47.13,40.5
4,2017-03-01,46.24,50.79,47.13,40.5
5,2017-04-01,46.24,50.79,47.13,40.5
6,2017-05-01,46.24,50.79,47.13,40.5
7,2017-06-01,46.24,50.79,47.13,40.5
8,2017-07-01,46.24,50.79,47.13,40.5
9,2017-08-01,46.24,50.79,47.13,40.5
10,2017-09-01,46.24,50.79,47.13,40.5
11,2017-10-01,46.87,51.02,47.88,41.37
12,2017-11-01,46.87,51.02,47.88,41.37
13,2017-12-01,46.87,51.02,47.88,41.37
14,2018-01-01,46.87,51.02,47.88,41.37
15,2018-02-01,46.87,51.02,47.88,41.37
16,2018-03-01,47.35,52.13,48.25,41.37
17,2018-04-01,47.35,52.13,48.25,41.37
18,2018-05-01,47.35,52.13,48.25,41.37
19,2018-06-01,47.35,52.13,48.25,41.37
20,2018-07-01,47.35,52.13,48.25,41.37
21,2018-08-01,47.35,52.13,48.25,41.37
22,2018-09-01,47.35,52.13,48.25,41.37
23,2018-10-01,47.38,52.22,48.25,41.37
24,2018-11-01,47.43,52.48,48.25,41.28
25,2018-12-01,47.43,52.48,48.25,41.28
26,2019-01-01,47.43,52.48,48.25,41.28
27,2019-02-01,47.43,52.48,48.25,41.28
28,2019-03-01,47.7,53.37,48.25,41.28
29,2019-04-01,47.7,53.37,48.25,41.28
30,2019-05-01,47.7,53.37,48.25,41.28
31,2019-06-01,47.7,53.37,48.25,41.28
32,2019-07-01,47.7,53.37,48.25,41.28
33,2019-08-01,47.7,53.37,48.25,41.28
34,2019-09-01,47.7,53.37,48.25,41.28
35,2019-10-01,47.7,53.37,48.25,41.28
36,2019-11-01,48.26,53.37,49.18,41.93
37,2019-12-01,46.62,52.48,45.74,41.93
38,2020-01-01,18.67,6.27,5.47,6.92
39,2020-02-01,18.67,6.27,5.47,6.92
40,2020-03-01,18.67,6.27,5.47,6.92
41,2020-04-01,,,,
42,2020-05-01,,,,
43,2020-06-01,,,,
44,2020-07-01,18.77,5.62,6.03,7.12
45,2020-08-01,18.81,5.66,6.03,7.12
46,2020-09-01,,,,
47,2020-10-01,18.81,5.66,6.03,7.12
48,2020-11-01,,,,
49,2020-12-01,,,,
50,2021-01-01,18.79,5.64,6.03,7.12
51,2021-02-01,18.79,5.64,6.03,7.12
52,2021-03-01,18.79,5.64,6.03,7.12
53,2021-04-01,,,,
54,2021-05-01,18.79,5.64,6.03,7.12
55,2021-06-01,,,,
56,2021-07-01,,,,
57,2021-08-01,,,,
58,2021-09-01,18.65,5.5,6.03,7.12
59,2021-10-01,,,,
60,2021-11-01,,,,
61,2021-12-01,,,,
62,2022-01-01,,,,
63,2022-02-01,14.51,5.27,5.5,3.74
64,2022-03-01,,,,
65,2022-04-01,,,,
66,2022-05-01,14.51,5.27,5.5,3.74
67,2022-06-01,,,,
68,2022-07-01,,,,
69,2022-08-01,14.51,5.27,5.5,3.74
70,2022-09-01,,,,
71,2022-10-01,,,,
72,2022-11-01,,,,
73,2022-12-01,,,,
74,2023-01-01,14.64,5.4,5.5,3.74
75,2023-02-01,,,,
76,2023-03-01,,,,
77,2023-04-01,,,,
78,2023-05-01,,,,
79,2023-06-01,,,,
80,2023-07-01,,,,
81,2023-08-01,,,,
82,2023-09-01,13.09,6.25,3.9,2.95
