,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,20.7,6.23,10.72,3.75
65,2020-02-01,20.7,6.23,10.72,3.75
66,2020-03-01,20.7,6.23,10.72,3.75
70,2020-07-01,19.79,6.12,10.57,3.1
71,2020-08-01,19.79,6.12,10.57,3.1
73,2020-10-01,19.81,6.14,10.57,3.1
76,2021-01-01,19.8,6.14,10.57,3.1
77,2021-02-01,19.8,6.14,10.57,3.1
78,2021-03-01,19.8,6.14,10.57,3.1
80,2021-05-01,25.77,7.57,13.9,4.29
84,2021-09-01,25.77,7.57,13.9,4.29
89,2022-02-01,25.77,7.57,13.9,4.29
92,2022-05-01,25.93,7.74,13.9,4.29
95,2022-08-01,25.93,7.74,13.9,4.29
100,2023-01-01,22.44,7.21,9.44,5.8
108,2023-09-01,22.19,6.82,9.73,5.64
