,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,60.0,70.0,58.0,53.0
1,2014-10-01,60.0,70.0,58.0,53.0
2,2014-11-01,60.0,70.0,58.0,53.0
3,2014-12-01,60.0,70.0,58.0,53.0
4,2015-01-01,60.0,70.0,58.0,53.0
5,2015-02-01,60.0,70.0,58.0,53.0
6,2015-03-01,59.0,70.0,58.0,53.0
7,2015-04-01,60.0,71.0,58.0,54.0
8,2015-05-01,60.0,71.0,58.0,54.0
9,2015-06-01,60.0,71.0,58.0,54.0
10,2015-07-01,60.0,71.0,58.0,54.0
11,2015-08-01,60.0,71.0,58.0,54.0
12,2015-09-01,60.0,71.0,58.0,54.0
13,2015-10-01,60.0,71.0,58.0,54.0
14,2015-11-01,60.0,71.0,58.0,54.0
15,2015-12-01,60.0,71.0,58.0,54.0
16,2016-01-01,60.07,71.24,57.8,53.88
17,2016-02-01,60.07,71.24,57.8,53.88
18,2016-03-01,60.07,71.24,57.8,53.88
19,2016-04-01,55.0,70.5,52.4,46.1
20,2016-05-01,55.0,70.5,52.4,46.1
21,2016-06-01,53.4,65.19,52.4,46.09
22,2016-07-01,53.4,65.19,52.4,46.09
23,2016-08-01,53.4,65.19,52.4,46.09
24,2016-09-01,53.35,65.19,52.4,45.98
25,2016-10-01,53.35,65.19,52.4,45.98
26,2016-11-01,53.35,65.19,52.4,45.98
27,2016-12-01,53.35,65.19,52.4,45.98
28,2017-01-01,53.35,65.19,52.4,45.98
29,2017-02-01,53.35,65.19,52.4,45.98
30,2017-03-01,58.23,74.53,56.4,48.39
31,2017-04-01,58.23,74.53,56.4,48.39
32,2017-05-01,57.73,74.53,54.4,48.39
33,2017-06-01,56.24,74.53,54.4,45.06
34,2017-07-01,57.73,74.53,54.4,48.39
35,2017-08-01,56.19,74.53,54.4,44.97
36,2017-09-01,56.19,74.53,54.4,44.97
37,2017-10-01,56.81,73.86,55.8,46.01
38,2017-11-01,56.21,71.86,55.8,46.01
39,2017-12-01,56.21,71.86,55.8,46.01
40,2018-01-01,56.21,71.86,55.8,46.01
41,2018-02-01,56.21,71.86,55.8,46.01
42,2018-03-01,56.21,71.86,55.8,46.01
43,2018-04-01,56.21,71.86,55.8,46.01
44,2018-05-01,56.57,71.86,61.5,43.64
45,2018-06-01,56.57,71.86,61.5,43.64
46,2018-07-01,56.57,71.86,61.5,43.64
47,2018-08-01,56.57,71.86,61.5,43.64
48,2018-09-01,56.57,71.86,61.5,43.64
49,2018-10-01,57.12,71.86,63.7,43.64
50,2018-11-01,57.32,72.52,63.7,43.64
51,2018-12-01,57.32,72.52,63.7,43.64
52,2019-01-01,57.32,72.52,63.7,43.64
53,2019-02-01,57.28,72.39,63.7,43.64
54,2019-03-01,56.52,72.39,63.7,41.95
55,2019-04-01,55.03,72.39,63.7,38.63
56,2019-05-01,55.03,72.39,63.7,38.63
57,2019-06-01,55.03,72.39,63.7,38.63
58,2019-07-01,55.03,72.39,63.7,38.63
59,2019-08-01,55.03,72.39,63.7,38.63
60,2019-09-01,55.03,72.39,63.7,38.63
61,2019-10-01,55.03,72.39,63.7,38.63
62,2019-11-01,55.05,72.47,63.7,38.63
63,2019-12-01,54.01,71.14,61.14,38.63
64,2020-01-01,19.98,6.28,2.12,11.59
65,2020-02-01,19.98,6.28,2.12,11.59
66,2020-03-01,19.98,6.28,2.12,11.59
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,19.98,6.28,2.12,11.59
71,2020-08-01,19.74,6.03,2.12,11.59
72,2020-09-01,,,,
73,2020-10-01,19.8,6.03,2.12,11.65
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,16.24,5.32,2.04,8.89
77,2021-02-01,16.28,5.36,2.04,8.89
78,2021-03-01,16.28,5.36,2.04,8.89
79,2021-04-01,,,,
80,2021-05-01,16.28,5.36,2.04,8.89
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,,,,
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,16.44,5.51,2.04,8.89
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,15.17,5.52,2.29,7.37
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,15.17,5.52,2.29,7.37
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,15.23,6.29,1.65,7.28
