,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,15.49,7.04,1.47,6.97
65,2020-02-01,15.49,7.04,1.47,6.97
66,2020-03-01,14.02,6.18,0.08,7.76
70,2020-07-01,12.34,5.86,0.08,6.4
71,2020-08-01,12.24,5.77,0.08,6.4
73,2020-10-01,12.18,5.7,0.08,6.4
76,2021-01-01,11.95,5.68,0.08,6.2
77,2021-02-01,11.95,5.68,0.08,6.2
78,2021-03-01,11.57,5.67,0.03,5.86
80,2021-05-01,11.57,5.67,0.03,5.86
84,2021-09-01,11.66,5.76,0.03,5.86
89,2022-02-01,10.59,5.34,0.02,5.23
92,2022-05-01,10.59,5.34,0.02,5.23
95,2022-08-01,10.59,5.34,0.02,5.23
100,2023-01-01,10.5,5.25,0.02,5.23
108,2023-09-01,15.82,8.12,1.61,6.09
