,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,26.1,5.65,9.52,10.93
65,2020-02-01,26.1,5.65,9.52,10.93
66,2020-03-01,26.1,5.65,9.52,10.93
70,2020-07-01,26.45,5.72,9.81,10.93
71,2020-08-01,26.45,5.72,9.81,10.93
73,2020-10-01,25.86,5.93,9.81,10.13
76,2021-01-01,23.09,5.16,7.56,10.37
77,2021-02-01,23.09,5.16,7.56,10.37
78,2021-03-01,23.5,5.16,7.56,10.78
80,2021-05-01,23.39,5.16,7.45,10.78
84,2021-09-01,23.39,5.16,7.45,10.78
89,2022-02-01,23.72,5.18,9.46,9.08
92,2022-05-01,23.72,5.18,9.46,9.08
95,2022-08-01,23.78,5.18,9.46,9.08
108,2023-09-01,22.02,5.41,7.23,9.39
