,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,69.0,62.0,81.0,68.0
1,2014-10-01,69.0,62.0,81.0,68.0
2,2014-11-01,69.0,62.0,81.0,68.0
3,2014-12-01,69.0,62.0,81.0,68.0
4,2015-01-01,69.0,62.0,81.0,68.0
5,2015-02-01,69.0,62.0,81.0,68.0
6,2015-03-01,69.0,62.0,82.0,67.0
7,2015-04-01,69.0,62.0,82.0,67.0
8,2015-05-01,66.0,62.0,82.0,59.0
9,2015-06-01,67.0,66.0,82.0,60.0
10,2015-07-01,67.0,66.0,82.0,60.0
11,2015-08-01,67.0,66.0,82.0,60.0
12,2015-09-01,67.0,66.0,82.0,60.0
13,2015-10-01,66.0,63.0,82.0,59.0
14,2015-11-01,66.0,63.0,82.0,59.0
15,2015-12-01,66.0,63.0,82.0,60.0
16,2016-01-01,66.28,63.0,82.4,59.52
17,2016-02-01,66.28,63.0,82.4,59.52
18,2016-03-01,66.28,63.0,82.4,59.52
19,2016-04-01,65.58,60.92,80.8,60.24
20,2016-05-01,65.58,60.92,80.8,60.24
21,2016-06-01,65.08,60.92,78.8,60.24
22,2016-07-01,65.41,64.92,75.3,60.24
23,2016-08-01,65.41,64.92,75.3,60.24
24,2016-09-01,65.41,64.92,75.3,60.24
25,2016-10-01,65.41,64.92,75.3,60.24
26,2016-11-01,65.41,64.92,75.3,60.24
27,2016-12-01,65.41,64.92,75.3,60.24
28,2017-01-01,65.41,64.92,75.3,60.24
29,2017-02-01,65.41,64.92,75.3,60.24
30,2017-03-01,65.41,64.92,75.3,60.24
31,2017-04-01,60.38,65.08,74.9,49.18
32,2017-05-01,60.88,65.08,76.9,49.18
33,2017-06-01,60.88,65.08,76.9,49.18
34,2017-07-01,60.88,65.08,76.9,49.18
35,2017-08-01,60.88,65.08,76.9,49.18
36,2017-09-01,60.88,65.08,76.9,49.18
37,2017-10-01,59.93,63.25,75.3,49.18
38,2017-11-01,59.93,63.25,75.3,49.18
39,2017-12-01,59.93,63.25,75.3,49.18
40,2018-01-01,59.93,63.25,75.3,49.18
41,2018-02-01,60.96,65.83,76.3,49.18
42,2018-03-01,60.96,65.83,76.3,49.18
43,2018-04-01,60.96,65.83,76.3,49.18
44,2018-05-01,65.48,65.0,78.1,58.79
45,2018-06-01,65.48,65.0,78.1,58.79
46,2018-07-01,65.48,65.0,78.1,58.79
47,2018-08-01,65.48,65.0,78.1,58.79
48,2018-09-01,65.48,65.0,78.1,58.79
49,2018-10-01,65.48,65.0,78.1,58.79
50,2018-11-01,65.28,64.33,78.1,58.79
51,2018-12-01,65.28,64.33,78.1,58.79
52,2019-01-01,65.28,64.33,78.1,58.79
53,2019-02-01,65.28,64.33,78.1,58.79
54,2019-03-01,65.28,64.33,78.1,58.79
55,2019-04-01,65.28,64.33,78.1,58.79
56,2019-05-01,65.28,64.33,78.1,58.79
57,2019-06-01,65.62,66.0,76.1,59.53
58,2019-07-01,66.37,66.0,79.1,59.53
59,2019-08-01,66.37,66.0,79.1,59.53
60,2019-09-01,66.37,66.0,79.1,59.53
61,2019-10-01,66.09,65.08,79.1,59.53
62,2019-11-01,66.09,65.08,79.1,59.53
63,2019-12-01,25.74,9.96,2.45,13.33
64,2020-01-01,25.74,9.96,2.45,13.33
65,2020-02-01,25.74,9.96,2.45,13.33
66,2020-03-01,26.77,9.96,2.45,14.35
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,25.93,9.15,2.55,14.23
71,2020-08-01,24.84,7.98,2.57,14.28
72,2020-09-01,,,,
73,2020-10-01,24.86,8.0,2.57,14.28
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,24.33,7.73,2.57,14.03
77,2021-02-01,24.33,7.73,2.57,14.03
78,2021-03-01,24.34,7.73,2.57,14.03
79,2021-04-01,,,,
80,2021-05-01,24.34,7.73,2.57,14.03
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,23.48,7.75,2.34,13.39
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,23.39,7.66,2.34,13.39
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,22.66,7.63,2.39,12.63
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,22.66,7.63,2.39,12.63
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,22.77,7.57,1.78,13.43
