,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,25.27,11.97,2.24,11.05
65,2020-02-01,25.27,11.97,2.24,11.05
66,2020-03-01,25.31,11.97,2.24,11.09
70,2020-07-01,25.31,11.97,2.24,11.09
71,2020-08-01,25.4,11.97,2.24,11.18
73,2020-10-01,25.42,12.0,2.24,11.18
76,2021-01-01,25.63,12.21,2.24,11.18
77,2021-02-01,25.63,12.21,2.24,11.18
78,2021-03-01,27.35,11.87,2.44,13.04
80,2021-05-01,27.96,11.87,3.01,13.08
84,2021-09-01,27.96,11.87,3.01,13.08
89,2022-02-01,27.71,11.63,3.01,13.08
92,2022-05-01,25.6,10.64,2.0,12.97
95,2022-08-01,25.17,10.21,2.0,12.97
100,2023-01-01,25.49,10.53,2.0,12.97
108,2023-09-01,24.76,10.49,1.3,12.97
