,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,15.05,4.83,5.73,4.49
65,2020-02-01,15.05,4.83,5.73,4.49
66,2020-03-01,15.05,4.83,5.73,4.49
70,2020-07-01,15.05,4.83,5.73,4.49
71,2020-08-01,14.43,4.47,5.47,4.49
73,2020-10-01,14.45,4.49,5.47,4.49
76,2021-01-01,14.48,4.47,5.47,4.53
77,2021-02-01,14.48,4.47,5.47,4.53
78,2021-03-01,14.48,4.47,5.47,4.53
80,2021-05-01,14.48,4.47,5.47,4.53
84,2021-09-01,13.75,4.27,5.32,4.15
89,2022-02-01,13.75,4.27,5.32,4.15
92,2022-05-01,13.8,4.27,5.32,4.2
95,2022-08-01,14.05,4.25,5.61,4.19
100,2023-01-01,14.17,4.36,5.61,4.19
108,2023-09-01,14.14,4.19,5.75,4.19
