,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,62.0,71.0,66.0,53.0
1,2014-10-01,62.0,71.0,66.0,53.0
2,2014-11-01,62.0,71.0,66.0,53.0
3,2014-12-01,62.0,71.0,66.0,53.0
4,2015-01-01,62.0,71.0,66.0,53.0
5,2015-02-01,62.0,71.0,66.0,53.0
6,2015-03-01,61.0,71.0,66.0,50.0
7,2015-04-01,61.0,71.0,66.0,50.0
8,2015-05-01,61.0,71.0,66.0,50.0
9,2015-06-01,61.0,71.0,66.0,50.0
10,2015-07-01,61.0,71.0,66.0,50.0
11,2015-08-01,61.0,71.0,66.0,50.0
12,2015-09-01,61.0,71.0,66.0,50.0
13,2015-10-01,61.0,71.0,66.0,50.0
14,2015-11-01,61.0,71.0,66.0,50.0
15,2015-12-01,63.0,69.0,70.0,52.0
16,2016-01-01,62.57,69.01,69.74,52.26
17,2016-02-01,62.57,69.01,69.74,52.26
18,2016-03-01,62.57,69.01,69.74,52.26
19,2016-04-01,62.74,69.03,69.72,52.68
20,2016-05-01,62.74,69.03,69.72,52.68
21,2016-06-01,62.74,69.03,69.72,52.68
22,2016-07-01,62.53,69.03,69.12,52.68
23,2016-08-01,62.53,69.03,69.12,52.68
24,2016-09-01,62.53,69.03,69.12,52.68
25,2016-10-01,62.53,69.03,69.12,52.68
26,2016-11-01,62.53,69.03,69.12,52.68
27,2016-12-01,63.58,69.64,69.24,54.84
28,2017-01-01,68.42,75.66,69.85,62.64
29,2017-02-01,68.42,75.66,69.85,62.64
30,2017-03-01,68.42,75.66,69.85,62.64
31,2017-04-01,68.42,75.66,69.85,62.64
32,2017-05-01,68.63,75.66,70.47,62.64
33,2017-06-01,68.63,75.66,70.47,62.64
34,2017-07-01,68.63,75.66,70.47,62.64
35,2017-08-01,68.63,75.66,70.47,62.64
36,2017-09-01,68.63,75.66,70.47,62.64
37,2017-10-01,68.33,71.58,71.16,63.82
38,2017-11-01,68.33,71.58,71.16,63.82
39,2017-12-01,68.33,71.58,71.16,63.82
40,2018-01-01,68.3,71.58,71.16,63.75
41,2018-02-01,68.3,71.58,71.16,63.75
42,2018-03-01,68.3,71.58,71.16,63.75
43,2018-04-01,66.39,69.04,72.83,59.1
44,2018-05-01,66.39,69.04,72.83,59.1
45,2018-06-01,66.39,69.04,72.83,59.1
46,2018-07-01,65.39,69.04,72.83,56.6
47,2018-08-01,65.39,69.04,72.83,56.6
48,2018-09-01,65.39,69.04,72.83,56.6
49,2018-10-01,65.39,69.04,72.83,56.6
50,2018-11-01,65.17,68.15,72.83,56.6
51,2018-12-01,65.17,68.15,72.83,56.6
52,2019-01-01,65.17,68.15,72.83,56.6
53,2019-02-01,65.17,68.15,72.83,56.6
54,2019-03-01,65.17,68.15,72.83,56.6
55,2019-04-01,65.17,68.15,72.83,56.6
56,2019-05-01,65.17,68.15,72.83,56.6
57,2019-06-01,65.17,68.15,72.83,56.6
58,2019-07-01,65.03,68.15,71.45,57.47
59,2019-08-01,65.03,68.15,71.45,57.47
60,2019-09-01,65.03,68.15,71.45,57.47
61,2019-10-01,65.03,68.15,71.45,57.47
62,2019-11-01,65.03,68.15,71.45,57.47
63,2019-12-01,64.25,68.56,69.95,56.57
64,2020-01-01,31.93,6.16,10.76,15.02
65,2020-02-01,31.93,6.16,10.76,15.02
66,2020-03-01,32.01,6.16,10.76,15.1
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,30.7,5.55,10.06,15.1
71,2020-08-01,30.7,5.55,10.06,15.1
72,2020-09-01,,,,
73,2020-10-01,30.72,5.57,10.06,15.1
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,28.38,5.23,9.07,14.08
77,2021-02-01,28.38,5.23,9.07,14.08
78,2021-03-01,28.38,5.23,9.07,14.08
79,2021-04-01,,,,
80,2021-05-01,28.43,5.32,8.96,14.14
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,28.43,5.32,8.96,14.14
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,28.74,5.32,8.96,14.45
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,26.75,5.3,9.92,11.52
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,26.53,5.3,9.92,11.3
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,26.58,5.21,10.07,11.3
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,26.07,5.35,9.63,11.09
