,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,48.0,61.0,41.0,47.0
1,2014-10-01,47.0,61.0,41.0,47.0
2,2014-11-01,48.0,61.0,41.0,47.0
3,2014-12-01,48.0,61.0,41.0,47.0
4,2015-01-01,50.0,61.0,44.0,50.0
5,2015-02-01,50.0,61.0,44.0,50.0
6,2015-03-01,50.0,61.0,44.0,49.0
7,2015-04-01,50.0,61.0,44.0,49.0
8,2015-05-01,50.0,61.0,44.0,49.0
9,2015-06-01,50.0,61.0,44.0,49.0
10,2015-07-01,50.0,61.0,44.0,49.0
11,2015-08-01,50.0,61.0,44.0,49.0
12,2015-09-01,50.0,61.0,44.0,49.0
13,2015-10-01,50.0,61.0,44.0,49.0
14,2015-11-01,50.0,61.0,44.0,49.0
15,2015-12-01,51.0,61.0,45.0,50.0
16,2016-01-01,50.61,60.89,44.57,50.17
17,2016-02-01,50.61,60.89,44.57,50.17
18,2016-03-01,50.61,60.89,44.57,50.17
19,2016-04-01,49.7,60.89,44.57,47.58
20,2016-05-01,49.7,60.89,44.57,47.58
21,2016-06-01,49.7,60.89,44.57,47.58
22,2016-07-01,49.7,60.89,44.57,47.58
23,2016-08-01,49.7,60.89,44.57,47.58
24,2016-09-01,49.7,60.89,44.57,47.58
25,2016-10-01,49.7,60.89,44.57,47.58
26,2016-11-01,49.69,61.05,44.57,47.45
27,2016-12-01,49.69,61.05,44.57,47.45
28,2017-01-01,50.59,61.55,46.75,47.16
29,2017-02-01,50.59,61.55,46.75,47.16
30,2017-03-01,50.59,61.55,46.75,47.16
31,2017-04-01,50.59,61.55,46.75,47.16
32,2017-05-01,50.59,61.55,46.75,47.16
33,2017-06-01,50.59,61.55,46.75,47.16
34,2017-07-01,50.59,61.55,46.75,47.16
35,2017-08-01,50.59,61.55,46.75,47.16
36,2017-09-01,50.59,61.55,46.75,47.16
37,2017-10-01,52.42,59.55,49.85,50.26
38,2017-11-01,52.42,59.55,49.85,50.26
39,2017-12-01,52.42,59.55,49.85,50.26
40,2018-01-01,52.42,59.55,49.85,50.26
41,2018-02-01,52.42,59.55,49.85,50.26
42,2018-03-01,52.42,59.55,49.85,50.26
43,2018-04-01,52.42,59.55,49.85,50.26
44,2018-05-01,51.3,58.55,48.43,49.4
45,2018-06-01,51.27,58.55,48.43,49.32
46,2018-07-01,51.27,58.55,48.43,49.32
47,2018-08-01,51.27,58.55,48.43,49.32
48,2018-09-01,51.27,58.55,48.43,49.32
49,2018-10-01,51.75,60.45,48.43,49.32
50,2018-11-01,51.85,60.85,48.43,49.32
51,2018-12-01,51.85,60.85,48.43,49.32
52,2019-01-01,51.85,60.85,48.43,49.32
53,2019-02-01,51.85,60.85,48.43,49.32
54,2019-03-01,52.22,60.85,48.43,50.39
55,2019-04-01,52.22,60.85,48.43,50.39
56,2019-05-01,52.22,60.85,48.43,50.39
57,2019-06-01,52.22,60.85,48.43,50.39
58,2019-07-01,51.31,60.85,48.43,47.78
59,2019-08-01,51.31,60.85,48.43,47.78
60,2019-09-01,51.31,60.85,48.43,47.78
61,2019-10-01,51.46,61.45,48.43,47.78
62,2019-11-01,53.77,63.95,48.08,53.0
63,2019-12-01,53.64,64.15,47.57,53.09
64,2020-01-01,32.54,8.71,19.16,4.66
65,2020-02-01,32.54,8.71,19.16,4.66
66,2020-03-01,32.54,8.71,19.16,4.66
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,32.47,8.59,19.22,4.66
71,2020-08-01,32.47,8.59,19.22,4.66
72,2020-09-01,,,,
73,2020-10-01,32.5,8.61,19.22,4.66
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,31.28,8.72,17.65,4.9
77,2021-02-01,31.28,8.72,17.65,4.9
78,2021-03-01,31.28,8.72,17.65,4.9
79,2021-04-01,,,,
80,2021-05-01,31.52,8.72,17.9,4.9
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,31.78,8.99,17.9,4.9
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,32.28,8.86,18.55,4.86
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,32.28,8.86,18.55,4.86
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,32.15,8.74,18.55,4.86
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,31.82,8.74,18.55,4.53
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,30.12,8.67,16.68,4.77
