,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,33.22,6.74,14.18,12.3
65,2020-02-01,33.22,6.74,14.18,12.3
66,2020-03-01,33.22,6.74,14.18,12.3
70,2020-07-01,33.24,6.76,14.18,12.3
71,2020-08-01,33.24,6.76,14.18,12.3
73,2020-10-01,33.24,6.76,14.18,12.3
76,2021-01-01,32.19,5.74,14.18,12.27
77,2021-02-01,32.19,5.74,14.18,12.27
78,2021-03-01,28.55,5.43,12.57,10.55
80,2021-05-01,28.58,5.43,12.43,10.72
84,2021-09-01,28.26,5.11,12.43,10.72
89,2022-02-01,28.26,5.11,12.43,10.72
92,2022-05-01,28.26,5.11,12.43,10.72
95,2022-08-01,28.03,5.03,12.43,10.58
108,2023-09-01,29.23,5.11,12.07,12.04
