,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,71.0,87.0,61.0,71.0
1,2014-10-01,70.0,87.0,61.0,71.0
2,2014-11-01,71.0,87.0,61.0,71.0
3,2014-12-01,71.0,87.0,61.0,71.0
4,2015-01-01,71.0,87.0,61.0,71.0
5,2015-02-01,71.0,87.0,61.0,71.0
6,2015-03-01,71.0,87.0,61.0,71.0
7,2015-04-01,71.0,87.0,61.0,71.0
8,2015-05-01,71.0,87.0,61.0,71.0
9,2015-06-01,71.0,87.0,61.0,71.0
10,2015-07-01,71.0,87.0,61.0,71.0
11,2015-08-01,71.0,87.0,61.0,71.0
12,2015-09-01,71.0,87.0,61.0,71.0
13,2015-10-01,71.0,87.0,61.0,70.0
14,2015-11-01,69.0,87.0,56.0,70.0
15,2015-12-01,69.0,87.0,57.0,71.0
16,2016-01-01,68.96,86.65,56.54,70.52
17,2016-02-01,70.52,87.45,57.2,73.67
18,2016-03-01,70.52,87.45,57.2,73.67
19,2016-04-01,68.12,87.45,56.77,67.29
20,2016-05-01,68.12,87.45,56.77,67.29
21,2016-06-01,68.12,87.45,56.77,67.29
22,2016-07-01,68.39,87.45,57.44,67.29
23,2016-08-01,68.39,87.45,57.44,67.29
24,2016-09-01,68.39,87.45,57.44,67.29
25,2016-10-01,68.39,87.45,57.44,67.29
26,2016-11-01,64.16,78.95,53.06,66.29
27,2016-12-01,64.16,78.95,53.06,66.29
28,2017-01-01,63.37,78.95,51.08,66.29
29,2017-02-01,63.37,78.95,51.08,66.29
30,2017-03-01,63.37,78.95,51.08,66.29
31,2017-04-01,63.37,78.95,51.08,66.29
32,2017-05-01,63.37,78.95,51.08,66.29
33,2017-06-01,63.32,78.95,51.08,66.15
34,2017-07-01,63.37,78.95,51.08,66.29
35,2017-08-01,63.32,78.95,51.08,66.15
36,2017-09-01,63.32,78.95,51.08,66.15
37,2017-10-01,63.5,76.25,54.67,64.49
38,2017-11-01,63.5,76.25,54.67,64.49
39,2017-12-01,63.5,76.25,54.67,64.49
40,2018-01-01,59.39,70.75,50.95,60.93
41,2018-02-01,59.39,70.75,50.95,60.93
42,2018-03-01,59.39,70.75,50.95,60.93
43,2018-04-01,59.39,70.75,50.95,60.93
44,2018-05-01,59.39,70.75,50.95,60.93
45,2018-06-01,59.39,70.75,50.95,60.93
46,2018-07-01,58.89,68.75,50.95,60.93
47,2018-08-01,58.89,68.75,50.95,60.93
48,2018-09-01,58.89,68.75,50.95,60.93
49,2018-10-01,58.89,68.75,50.95,60.93
50,2018-11-01,58.89,68.75,50.95,60.93
51,2018-12-01,57.28,68.75,46.92,60.93
52,2019-01-01,57.28,68.75,46.92,60.93
53,2019-02-01,56.24,68.75,47.39,57.41
54,2019-03-01,56.51,68.75,48.07,57.41
55,2019-04-01,56.51,68.75,48.07,57.41
56,2019-05-01,56.51,68.75,48.07,57.41
57,2019-06-01,56.51,68.75,48.07,57.41
58,2019-07-01,56.51,68.75,48.07,57.41
59,2019-08-01,56.51,68.75,48.07,57.41
60,2019-09-01,56.51,68.75,48.07,57.41
61,2019-10-01,56.51,68.75,48.07,57.41
62,2019-11-01,56.81,69.95,48.07,57.41
63,2019-12-01,56.84,69.75,48.27,57.41
64,2020-01-01,38.49,8.76,17.79,11.94
65,2020-02-01,38.08,8.93,17.13,12.02
66,2020-03-01,38.18,8.93,17.13,12.12
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,34.64,8.42,14.72,11.5
71,2020-08-01,34.59,8.37,14.72,11.5
72,2020-09-01,,,,
73,2020-10-01,35.0,8.39,14.72,11.89
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,35.0,8.39,14.72,11.89
77,2021-02-01,35.0,8.39,14.72,11.89
78,2021-03-01,35.0,8.39,14.72,11.89
79,2021-04-01,,,,
80,2021-05-01,34.75,8.39,14.46,11.89
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,36.37,8.42,15.92,12.03
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,36.87,8.55,16.3,12.03
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,36.87,8.55,16.3,12.03
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,36.87,8.55,16.3,12.03
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,34.06,8.66,14.35,11.05
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,33.52,8.6,13.87,11.05
