,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,43.19,8.56,23.71,10.93
65,2020-02-01,43.28,8.51,23.84,10.93
66,2020-03-01,43.28,8.51,23.84,10.93
70,2020-07-01,43.09,8.75,22.84,11.5
71,2020-08-01,43.09,8.75,22.84,11.5
73,2020-10-01,42.91,8.77,22.84,11.31
76,2021-01-01,42.11,8.77,23.08,10.27
77,2021-02-01,42.11,8.77,23.08,10.27
78,2021-03-01,42.11,8.77,23.08,10.27
80,2021-05-01,42.8,8.77,23.76,10.27
84,2021-09-01,42.72,8.7,23.76,10.27
89,2022-02-01,42.05,8.13,23.91,10.01
92,2022-05-01,42.05,8.13,23.91,10.01
95,2022-08-01,42.05,8.13,23.91,10.01
100,2023-01-01,42.01,7.96,23.91,10.14
108,2023-09-01,37.72,7.6,21.07,9.05
