,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,14.89,5.4,1.4,8.09
65,2020-02-01,14.89,5.4,1.4,8.09
66,2020-03-01,14.93,5.44,1.4,8.09
70,2020-07-01,14.93,5.44,1.4,8.09
71,2020-08-01,14.93,5.44,1.4,8.09
73,2020-10-01,14.95,5.46,1.4,8.09
76,2021-01-01,14.43,5.3,1.97,7.18
77,2021-02-01,14.43,5.3,1.97,7.18
78,2021-03-01,14.43,5.3,1.97,7.18
80,2021-05-01,14.43,5.3,1.97,7.18
84,2021-09-01,14.62,5.3,1.93,7.4
89,2022-02-01,14.89,5.46,1.93,7.51
92,2022-05-01,13.69,5.18,2.11,6.41
95,2022-08-01,13.75,5.18,2.11,6.46
100,2023-01-01,14.31,5.39,2.21,6.7
108,2023-09-01,13.13,5.8,2.26,5.07
