,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,31.76,6.75,14.73,10.28
65,2020-02-01,31.76,6.75,14.73,10.28
66,2020-03-01,31.76,6.75,14.73,10.28
70,2020-07-01,32.28,6.56,15.2,10.52
71,2020-08-01,32.28,6.56,15.2,10.52
73,2020-10-01,32.3,6.58,15.2,10.52
76,2021-01-01,32.3,6.58,15.2,10.52
77,2021-02-01,32.3,6.58,15.2,10.52
78,2021-03-01,32.3,6.58,15.2,10.52
80,2021-05-01,31.53,6.58,14.44,10.52
84,2021-09-01,30.43,5.35,15.42,9.66
89,2022-02-01,29.28,5.13,13.86,10.29
92,2022-05-01,29.52,5.13,14.1,10.29
95,2022-08-01,29.58,5.19,14.1,10.29
100,2023-01-01,29.51,5.18,14.08,10.25
108,2023-09-01,26.02,4.87,11.98,9.17
