,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,73.0,75.0,69.0,75.0
1,2014-10-01,73.0,75.0,69.0,75.0
2,2014-11-01,73.0,75.0,69.0,75.0
3,2014-12-01,73.0,75.0,69.0,75.0
4,2015-01-01,73.0,75.0,69.0,75.0
5,2015-02-01,73.0,75.0,69.0,75.0
6,2015-03-01,71.0,73.0,68.0,72.0
7,2015-04-01,71.0,73.0,68.0,72.0
8,2015-05-01,71.0,73.0,68.0,72.0
9,2015-06-01,70.0,70.0,68.0,72.0
10,2015-07-01,69.0,64.0,68.0,72.0
11,2015-08-01,69.0,64.0,68.0,72.0
12,2015-09-01,69.0,64.0,68.0,72.0
13,2015-10-01,68.0,64.0,68.0,72.0
14,2015-11-01,68.0,64.0,68.0,72.0
15,2015-12-01,69.0,64.0,68.0,72.0
16,2016-01-01,68.54,63.86,67.85,72.08
17,2016-02-01,68.54,63.86,67.85,72.08
18,2016-03-01,68.54,63.86,67.85,72.08
19,2016-04-01,66.28,65.61,67.5,65.62
20,2016-05-01,66.28,65.61,67.5,65.62
21,2016-06-01,66.03,65.61,67.36,65.13
22,2016-07-01,66.03,65.61,67.36,65.13
23,2016-08-01,66.13,65.61,65.14,67.32
24,2016-09-01,65.56,65.61,65.14,65.9
25,2016-10-01,65.56,65.61,65.14,65.9
26,2016-11-01,65.56,65.61,65.14,65.9
27,2016-12-01,65.52,65.61,65.14,65.8
28,2017-01-01,65.59,65.88,65.14,65.81
29,2017-02-01,65.59,65.88,65.14,65.81
30,2017-03-01,65.59,65.88,65.14,65.81
31,2017-04-01,65.59,65.88,65.14,65.81
32,2017-05-01,67.09,65.88,69.43,65.81
33,2017-06-01,67.09,65.88,69.43,65.81
34,2017-07-01,67.09,65.88,69.43,65.81
35,2017-08-01,67.09,65.88,69.43,65.81
36,2017-09-01,67.09,65.88,69.43,65.81
37,2017-10-01,65.97,62.33,69.14,65.48
38,2017-11-01,65.97,62.33,69.14,65.48
39,2017-12-01,65.97,62.33,69.14,65.48
40,2018-01-01,65.97,62.33,69.14,65.48
41,2018-02-01,65.97,62.33,69.14,65.48
42,2018-03-01,65.97,62.33,69.14,65.48
43,2018-04-01,64.1,57.26,69.58,63.58
44,2018-05-01,64.1,57.26,69.58,63.58
45,2018-06-01,62.9,57.26,69.58,60.58
46,2018-07-01,62.9,57.26,69.58,60.58
47,2018-08-01,61.1,57.26,69.58,56.08
48,2018-09-01,61.1,57.26,69.58,56.08
49,2018-10-01,64.42,57.26,77.79,57.2
50,2018-11-01,64.53,57.71,77.79,57.2
51,2018-12-01,65.21,57.71,78.98,57.85
52,2019-01-01,65.21,57.71,78.98,57.85
53,2019-02-01,65.21,57.71,78.98,57.85
54,2019-03-01,65.49,58.82,78.98,57.85
55,2019-04-01,65.49,58.82,78.98,57.85
56,2019-05-01,65.49,58.82,78.98,57.85
57,2019-06-01,64.45,58.26,78.98,55.6
58,2019-07-01,63.88,58.26,77.35,55.6
59,2019-08-01,63.88,58.26,77.35,55.6
60,2019-09-01,63.88,58.26,77.35,55.6
61,2019-10-01,63.84,58.26,77.24,55.6
62,2019-11-01,64.45,60.48,77.24,55.73
63,2019-12-01,17.07,8.68,2.05,6.34
64,2020-01-01,17.07,8.68,2.05,6.34
65,2020-02-01,16.52,8.12,2.05,6.34
66,2020-03-01,16.52,8.12,2.05,6.34
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,16.78,7.77,2.05,6.96
71,2020-08-01,16.09,7.48,2.05,6.56
72,2020-09-01,,,,
73,2020-10-01,16.12,7.51,2.05,6.56
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,14.8,6.95,2.29,5.56
77,2021-02-01,14.8,6.95,2.29,5.56
78,2021-03-01,14.8,6.95,2.29,5.56
79,2021-04-01,,,,
80,2021-05-01,15.34,7.28,2.29,5.77
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,15.38,7.28,2.48,5.61
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,16.8,7.1,2.71,6.99
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,16.8,7.1,2.71,6.99
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,16.95,6.92,3.04,6.99
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,19.61,6.65,2.98,9.99
