,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,65.0,77.0,52.0,74.0
1,2014-10-01,64.0,77.0,52.0,74.0
2,2014-11-01,65.0,77.0,52.0,74.0
3,2014-12-01,65.0,77.0,52.0,74.0
4,2015-01-01,59.0,74.0,46.0,65.0
5,2015-02-01,59.0,74.0,46.0,65.0
6,2015-03-01,58.0,74.0,47.0,62.0
7,2015-04-01,58.0,74.0,47.0,62.0
8,2015-05-01,58.0,74.0,47.0,62.0
9,2015-06-01,58.0,74.0,47.0,62.0
10,2015-07-01,58.0,74.0,47.0,62.0
11,2015-08-01,58.0,74.0,47.0,62.0
12,2015-09-01,58.0,74.0,47.0,62.0
13,2015-10-01,58.0,74.0,47.0,62.0
14,2015-11-01,60.0,78.0,47.0,65.0
15,2015-12-01,60.0,78.0,47.0,65.0
16,2016-01-01,59.93,77.67,46.69,65.0
17,2016-02-01,59.93,77.67,46.69,65.0
18,2016-03-01,59.93,77.67,46.69,65.0
19,2016-04-01,60.47,77.68,47.8,65.13
20,2016-05-01,60.47,77.68,47.8,65.13
21,2016-06-01,60.47,77.68,47.8,65.13
22,2016-07-01,60.47,77.68,47.8,65.13
23,2016-08-01,60.47,77.68,47.8,65.13
24,2016-09-01,60.46,77.79,47.8,65.0
25,2016-10-01,60.46,77.79,47.8,65.0
26,2016-11-01,60.46,77.79,47.8,65.0
27,2016-12-01,60.46,77.79,47.8,65.0
28,2017-01-01,60.66,71.59,52.53,63.75
29,2017-02-01,60.66,71.59,52.53,63.75
30,2017-03-01,60.66,71.59,52.53,63.75
31,2017-04-01,60.66,71.59,52.53,63.75
32,2017-05-01,60.66,71.59,52.53,63.75
33,2017-06-01,60.66,71.59,52.53,63.75
34,2017-07-01,60.66,71.59,52.53,63.75
35,2017-08-01,60.66,71.59,52.53,63.75
36,2017-09-01,60.66,71.59,52.53,63.75
37,2017-10-01,59.33,70.19,50.29,63.83
38,2017-11-01,59.33,70.19,50.29,63.83
39,2017-12-01,59.33,70.19,50.29,63.83
40,2018-01-01,59.33,70.19,50.29,63.83
41,2018-02-01,59.33,70.19,50.29,63.83
42,2018-03-01,62.17,69.19,56.61,64.67
43,2018-04-01,62.17,69.19,56.61,64.67
44,2018-05-01,62.17,69.19,56.61,64.67
45,2018-06-01,64.25,69.19,61.13,64.82
46,2018-07-01,64.25,69.19,61.13,64.82
47,2018-08-01,64.25,69.19,61.13,64.82
48,2018-09-01,64.25,69.19,61.13,64.82
49,2018-10-01,64.45,69.99,61.13,64.82
50,2018-11-01,64.45,69.99,61.13,64.82
51,2018-12-01,64.45,69.99,61.13,64.82
52,2019-01-01,64.45,69.99,61.13,64.82
53,2019-02-01,64.45,69.99,61.13,64.82
54,2019-03-01,62.7,69.99,57.24,64.82
55,2019-04-01,62.7,69.99,57.24,64.82
56,2019-05-01,62.7,69.99,57.24,64.82
57,2019-06-01,62.7,69.99,57.24,64.82
58,2019-07-01,62.7,69.99,57.24,64.82
59,2019-08-01,60.49,66.99,54.69,63.78
60,2019-09-01,60.49,66.99,54.69,63.78
61,2019-10-01,60.59,67.39,54.69,63.78
62,2019-11-01,60.59,67.39,54.69,63.78
63,2019-12-01,60.36,66.19,54.85,63.78
64,2020-01-01,40.04,8.04,20.6,11.4
65,2020-02-01,40.04,8.04,20.6,11.4
66,2020-03-01,40.04,8.04,20.6,11.4
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,40.67,8.04,21.23,11.4
71,2020-08-01,40.67,8.04,21.23,11.4
72,2020-09-01,,,,
73,2020-10-01,39.69,7.25,21.31,11.12
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,31.75,5.55,17.26,8.95
77,2021-02-01,31.75,5.55,17.26,8.95
78,2021-03-01,31.75,5.55,17.26,8.95
79,2021-04-01,,,,
80,2021-05-01,31.75,5.55,17.26,8.95
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,31.75,5.55,17.26,8.95
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,31.75,5.55,17.26,8.95
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,31.62,5.42,17.26,8.95
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,31.62,5.42,17.26,8.95
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,32.16,5.67,17.08,9.42
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,31.97,5.69,16.8,9.5
