,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,24.43,3.71,8.94,11.77
65,2020-02-01,24.43,3.71,8.94,11.77
66,2020-03-01,24.43,3.71,8.94,11.77
70,2020-07-01,24.24,3.53,8.94,11.77
71,2020-08-01,24.24,3.53,8.94,11.77
73,2020-10-01,24.27,3.55,8.94,11.77
76,2021-01-01,23.63,3.41,7.85,12.37
77,2021-02-01,23.63,3.41,7.85,12.37
78,2021-03-01,23.63,3.41,7.85,12.37
80,2021-05-01,24.39,3.41,8.61,12.37
84,2021-09-01,24.42,3.44,8.61,12.37
89,2022-02-01,22.83,3.42,8.05,11.36
92,2022-05-01,22.83,3.42,8.05,11.36
95,2022-08-01,22.73,3.32,8.05,11.36
108,2023-09-01,23.92,5.42,8.02,10.48
