,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,79.0,82.0,73.0,81.0
1,2014-10-01,79.0,82.0,73.0,81.0
2,2014-11-01,79.0,82.0,73.0,81.0
3,2014-12-01,79.0,82.0,73.0,81.0
4,2015-01-01,79.0,83.0,73.0,81.0
5,2015-02-01,79.0,83.0,73.0,81.0
6,2015-03-01,78.0,83.0,72.0,77.0
7,2015-04-01,78.0,83.0,72.0,77.0
8,2015-05-01,78.0,83.0,72.0,77.0
9,2015-06-01,78.0,83.0,72.0,77.0
10,2015-07-01,78.0,83.0,72.0,77.0
11,2015-08-01,78.0,83.0,72.0,77.0
12,2015-09-01,78.0,83.0,72.0,77.0
13,2015-10-01,78.0,83.0,71.0,77.0
14,2015-11-01,78.0,83.0,71.0,77.0
15,2015-12-01,78.0,83.0,72.0,77.0
16,2016-01-01,77.59,82.97,71.58,77.35
17,2016-02-01,77.59,82.97,71.58,77.35
18,2016-03-01,77.59,82.97,71.58,77.35
19,2016-04-01,76.85,81.81,73.25,74.3
20,2016-05-01,76.85,81.81,73.25,74.3
21,2016-06-01,76.85,81.81,73.25,74.3
22,2016-07-01,76.47,81.81,72.0,74.3
23,2016-08-01,76.47,81.81,72.0,74.3
24,2016-09-01,76.47,81.81,72.0,74.3
25,2016-10-01,65.37,72.48,63.5,58.63
26,2016-11-01,65.37,72.48,63.5,58.63
27,2016-12-01,65.37,72.48,63.5,58.63
28,2017-01-01,65.21,72.25,63.5,58.46
29,2017-02-01,65.21,72.25,63.5,58.46
30,2017-03-01,65.21,72.25,63.5,58.46
31,2017-04-01,65.21,72.25,63.5,58.46
32,2017-05-01,65.08,72.25,63.08,58.46
33,2017-06-01,65.08,72.25,63.08,58.46
34,2017-07-01,65.08,72.25,63.08,58.46
35,2017-08-01,65.08,72.25,63.08,58.46
36,2017-09-01,65.08,72.25,63.08,58.46
37,2017-10-01,64.69,70.1,63.08,59.79
38,2017-11-01,64.69,70.1,63.08,59.79
39,2017-12-01,64.69,70.1,63.08,59.79
40,2018-01-01,64.69,70.1,63.08,59.79
41,2018-02-01,64.69,70.1,63.08,59.79
42,2018-03-01,64.69,70.1,63.08,59.79
43,2018-04-01,64.69,70.1,63.08,59.79
44,2018-05-01,64.69,70.1,63.08,59.79
45,2018-06-01,64.69,70.1,63.08,59.79
46,2018-07-01,64.69,70.1,63.08,59.79
47,2018-08-01,64.69,70.1,63.08,59.79
48,2018-09-01,66.68,73.33,63.0,62.25
49,2018-10-01,66.68,73.33,63.0,62.25
50,2018-11-01,66.37,72.5,63.0,62.25
51,2018-12-01,66.37,72.5,63.0,62.25
52,2019-01-01,66.37,72.5,63.0,62.25
53,2019-02-01,66.37,72.5,63.0,62.25
54,2019-03-01,66.37,72.5,63.0,62.25
55,2019-04-01,66.37,72.5,63.0,62.25
56,2019-05-01,66.5,72.86,63.0,62.25
57,2019-06-01,67.72,73.07,63.0,65.81
58,2019-07-01,67.72,73.07,63.0,65.81
59,2019-08-01,67.72,73.07,63.0,65.81
60,2019-09-01,67.72,73.07,63.0,65.81
61,2019-10-01,67.72,73.07,63.0,65.81
62,2019-11-01,71.53,75.07,71.4,67.47
63,2019-12-01,68.76,74.97,62.28,67.47
64,2020-01-01,25.36,10.78,2.24,12.34
65,2020-02-01,25.36,10.78,2.24,12.34
66,2020-03-01,25.36,10.78,2.24,12.34
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,25.36,10.78,2.24,12.34
71,2020-08-01,25.46,10.88,2.24,12.34
72,2020-09-01,,,,
73,2020-10-01,25.58,11.0,2.24,12.34
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,25.27,10.48,2.24,12.55
77,2021-02-01,25.13,10.33,2.24,12.55
78,2021-03-01,25.13,10.33,2.24,12.55
79,2021-04-01,,,,
80,2021-05-01,25.13,10.33,2.24,12.55
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,25.13,10.33,2.24,12.55
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,24.39,10.69,1.87,11.83
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,24.39,10.69,1.87,11.83
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,24.39,10.69,1.87,11.83
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,23.86,10.17,1.87,11.83
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,23.86,10.17,1.87,11.83
