,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,45.0,58.0,34.0,46.0
1,2014-10-01,45.0,58.0,34.0,46.0
2,2014-11-01,45.0,58.0,34.0,46.0
3,2014-12-01,45.0,58.0,34.0,46.0
4,2015-01-01,45.0,58.0,34.0,46.0
5,2015-02-01,45.0,58.0,34.0,46.0
6,2015-03-01,45.0,58.0,34.0,46.0
7,2015-04-01,45.0,58.0,34.0,46.0
8,2015-05-01,45.0,58.0,34.0,46.0
9,2015-06-01,45.0,58.0,34.0,46.0
10,2015-07-01,45.0,58.0,34.0,46.0
11,2015-08-01,45.0,58.0,34.0,46.0
12,2015-09-01,45.0,58.0,34.0,46.0
13,2015-10-01,45.0,58.0,34.0,46.0
14,2015-11-01,45.0,58.0,34.0,46.0
15,2015-12-01,45.0,58.0,34.0,46.0
16,2016-01-01,44.75,58.0,33.57,46.25
17,2016-02-01,44.75,58.0,33.57,46.25
18,2016-03-01,44.75,58.0,33.57,46.25
19,2016-04-01,43.75,58.0,33.57,43.75
20,2016-05-01,43.75,58.0,33.57,43.75
21,2016-06-01,43.75,58.0,33.57,43.75
22,2016-07-01,43.75,58.0,33.57,43.75
23,2016-08-01,43.75,58.0,33.57,43.75
24,2016-09-01,43.75,58.0,33.57,43.75
25,2016-10-01,43.75,58.0,33.57,43.75
26,2016-11-01,43.75,58.0,33.57,43.75
27,2016-12-01,43.75,58.0,33.57,43.75
28,2017-01-01,44.0,59.0,33.57,43.75
29,2017-02-01,44.0,59.0,33.57,43.75
30,2017-03-01,44.0,59.0,33.57,43.75
31,2017-04-01,44.0,59.0,33.57,43.75
32,2017-05-01,44.0,59.0,33.57,43.75
33,2017-06-01,44.0,59.0,33.57,43.75
34,2017-07-01,44.0,59.0,33.57,43.75
35,2017-08-01,44.0,59.0,33.57,43.75
36,2017-09-01,44.0,59.0,33.57,43.75
37,2017-10-01,40.94,50.9,30.71,43.65
38,2017-11-01,40.94,50.9,30.71,43.65
39,2017-12-01,40.94,50.9,30.71,43.65
40,2018-01-01,40.94,50.9,30.71,43.65
41,2018-02-01,40.94,50.9,30.71,43.65
42,2018-03-01,40.94,50.9,30.71,43.65
43,2018-04-01,41.74,50.9,33.0,43.65
44,2018-05-01,41.74,50.9,33.0,43.65
45,2018-06-01,41.74,50.9,33.0,43.65
46,2018-07-01,41.74,50.9,33.0,43.65
47,2018-08-01,41.74,50.9,33.0,43.65
48,2018-09-01,41.74,50.9,33.0,43.65
49,2018-10-01,43.39,57.5,33.0,43.65
50,2018-11-01,43.39,57.5,33.0,43.65
51,2018-12-01,43.39,57.5,33.0,43.65
52,2019-01-01,43.39,57.5,33.0,43.65
53,2019-02-01,43.39,57.5,33.0,43.65
54,2019-03-01,43.39,57.5,33.0,43.65
55,2019-04-01,43.39,57.5,33.0,43.65
56,2019-05-01,43.39,57.5,33.0,43.65
57,2019-06-01,42.59,57.5,30.71,43.65
58,2019-07-01,42.59,57.5,30.71,43.65
59,2019-08-01,42.59,57.5,30.71,43.65
60,2019-09-01,42.59,57.5,30.71,43.65
61,2019-10-01,42.59,57.5,30.71,43.65
62,2019-11-01,42.59,57.5,30.71,43.65
63,2019-12-01,55.55,62.4,48.77,57.21
64,2020-01-01,20.07,5.31,6.42,8.34
65,2020-02-01,20.07,5.31,6.42,8.34
66,2020-03-01,20.07,5.31,6.42,8.34
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,19.81,5.05,6.42,8.34
71,2020-08-01,19.81,5.05,6.42,8.34
72,2020-09-01,,,,
73,2020-10-01,19.83,5.07,6.42,8.34
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,20.57,5.0,6.91,8.65
77,2021-02-01,20.57,5.0,6.91,8.65
78,2021-03-01,20.57,5.0,6.91,8.65
79,2021-04-01,,,,
80,2021-05-01,23.22,5.57,8.96,8.68
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,23.51,5.86,8.96,8.68
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,20.75,5.72,7.21,7.82
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,20.75,5.72,7.21,7.82
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,20.75,5.72,7.21,7.82
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,20.33,5.3,7.21,7.82
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,20.27,5.24,7.21,7.82
