,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,18.03,7.86,0.07,10.1
65,2020-02-01,18.03,7.86,0.07,10.1
66,2020-03-01,18.03,7.86,0.07,10.1
70,2020-07-01,18.03,7.86,0.07,10.1
71,2020-08-01,17.94,7.77,0.07,10.1
73,2020-10-01,17.96,7.79,0.07,10.1
76,2021-01-01,17.96,7.79,0.07,10.1
77,2021-02-01,17.96,7.79,0.07,10.1
78,2021-03-01,17.96,7.79,0.07,10.1
80,2021-05-01,17.94,7.77,0.07,10.1
84,2021-09-01,18.46,7.87,0.07,10.52
89,2022-02-01,18.27,7.68,0.07,10.52
92,2022-05-01,18.27,7.68,0.07,10.52
95,2022-08-01,18.18,7.59,0.07,10.52
100,2023-01-01,16.3,6.88,0.09,9.33
108,2023-09-01,16.28,6.86,0.09,9.33
