,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,12.96,4.18,0.18,8.6
65,2020-02-01,12.96,4.18,0.18,8.6
66,2020-03-01,12.96,4.18,0.18,8.6
70,2020-07-01,12.5,4.11,0.12,8.27
71,2020-08-01,12.5,4.11,0.12,8.27
73,2020-10-01,12.52,4.13,0.12,8.27
76,2021-01-01,12.52,4.13,0.12,8.27
77,2021-02-01,12.47,4.03,0.12,8.32
78,2021-03-01,12.47,4.03,0.12,8.32
80,2021-05-01,12.51,4.03,0.12,8.37
84,2021-09-01,13.12,4.06,0.16,8.89
89,2022-02-01,13.03,3.98,0.16,8.89
92,2022-05-01,13.03,3.98,0.16,8.89
95,2022-08-01,13.03,3.98,0.16,8.89
108,2023-09-01,12.05,3.76,0.14,8.15
