,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,56.0,58.0,61.0,49.0
1,2014-10-01,55.0,58.0,61.0,49.0
2,2014-11-01,56.0,58.0,61.0,49.0
3,2014-12-01,56.0,58.0,61.0,49.0
4,2015-01-01,58.0,58.0,61.0,55.0
5,2015-02-01,58.0,58.0,61.0,55.0
6,2015-03-01,58.0,58.0,61.0,54.0
7,2015-04-01,58.0,58.0,61.0,54.0
8,2015-05-01,58.0,58.0,61.0,54.0
9,2015-06-01,58.0,58.0,61.0,54.0
10,2015-07-01,58.0,58.0,61.0,54.0
11,2015-08-01,58.0,58.0,61.0,54.0
12,2015-09-01,58.0,58.0,61.0,54.0
13,2015-10-01,58.0,58.0,61.0,54.0
14,2015-11-01,58.0,58.0,61.0,54.0
15,2015-12-01,58.0,58.0,61.0,54.0
16,2016-01-01,56.85,60.49,56.83,54.28
17,2016-02-01,56.85,60.49,56.83,54.28
18,2016-03-01,56.85,60.49,56.83,54.28
19,2016-04-01,55.63,60.49,56.43,51.26
20,2016-05-01,55.63,60.49,56.43,51.26
21,2016-06-01,55.63,60.49,56.43,51.26
22,2016-07-01,55.14,60.49,56.43,49.83
23,2016-08-01,54.39,60.49,56.43,47.7
24,2016-09-01,54.39,60.49,56.43,47.7
25,2016-10-01,54.39,60.49,56.43,47.7
26,2016-11-01,54.39,60.49,56.43,47.7
27,2016-12-01,55.17,60.49,61.29,44.38
28,2017-01-01,55.01,60.49,60.87,44.38
29,2017-02-01,55.01,60.49,60.87,44.38
30,2017-03-01,55.01,60.49,60.87,44.38
31,2017-04-01,55.01,60.49,60.87,44.38
32,2017-05-01,55.01,60.49,60.87,44.38
33,2017-06-01,55.01,60.49,60.87,44.38
34,2017-07-01,55.01,60.49,60.87,44.38
35,2017-08-01,55.01,60.49,60.87,44.38
36,2017-09-01,55.01,60.49,60.87,44.38
37,2017-10-01,54.17,57.39,61.37,43.62
38,2017-11-01,54.17,57.39,61.37,43.62
39,2017-12-01,54.21,57.55,61.37,43.62
40,2018-01-01,54.21,57.55,61.37,43.62
41,2018-02-01,52.74,57.55,58.64,42.55
42,2018-03-01,52.74,57.55,58.64,42.55
43,2018-04-01,52.74,57.55,58.64,42.55
44,2018-05-01,52.74,57.55,58.64,42.55
45,2018-06-01,52.74,57.55,58.64,42.55
46,2018-07-01,52.71,57.55,58.64,42.47
47,2018-08-01,52.71,57.55,58.64,42.47
48,2018-09-01,52.71,57.55,58.64,42.47
49,2018-10-01,53.52,58.95,59.78,42.47
50,2018-11-01,53.52,58.95,59.78,42.47
51,2018-12-01,53.52,58.95,59.78,42.47
52,2019-01-01,53.52,58.95,59.78,42.47
53,2019-02-01,53.52,58.95,59.78,42.47
54,2019-03-01,52.92,55.45,59.65,43.42
55,2019-04-01,52.92,55.45,59.65,43.42
56,2019-05-01,53.17,56.45,59.65,43.42
57,2019-06-01,53.17,56.45,59.65,43.42
58,2019-07-01,53.17,56.45,59.65,43.42
59,2019-08-01,53.17,56.45,59.65,43.42
60,2019-09-01,52.6,56.45,59.65,41.78
61,2019-10-01,52.4,55.65,59.65,41.78
62,2019-11-01,52.4,55.65,59.65,41.78
63,2019-12-01,51.72,55.65,57.94,41.78
64,2020-01-01,35.15,9.61,8.24,17.29
65,2020-02-01,35.15,9.61,8.24,17.29
66,2020-03-01,35.15,9.61,8.24,17.29
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,34.94,9.36,8.32,17.26
71,2020-08-01,34.94,9.36,8.32,17.26
72,2020-09-01,,,,
73,2020-10-01,34.96,9.38,8.32,17.26
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,34.96,9.38,8.32,17.26
77,2021-02-01,34.96,9.38,8.32,17.26
78,2021-03-01,34.96,9.38,8.32,17.26
79,2021-04-01,,,,
80,2021-05-01,28.38,8.8,8.3,11.28
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,28.14,8.56,8.3,11.28
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,28.21,8.56,8.3,11.36
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,28.31,8.66,8.3,11.36
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,27.77,8.42,8.36,10.99
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,27.77,8.42,8.36,10.99
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,27.64,8.3,8.36,10.99
