,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,29.1,5.52,14.24,9.34
65,2020-02-01,29.25,5.3,14.18,9.78
66,2020-03-01,29.25,5.3,14.18,9.78
70,2020-07-01,29.18,4.92,14.49,9.78
71,2020-08-01,29.18,4.92,14.49,9.78
73,2020-10-01,29.04,4.98,14.49,9.58
76,2021-01-01,29.37,5.22,14.46,9.7
77,2021-02-01,29.37,5.22,14.46,9.7
78,2021-03-01,29.37,5.22,14.46,9.7
80,2021-05-01,29.37,5.22,14.46,9.7
84,2021-09-01,28.94,5.74,14.53,8.66
89,2022-02-01,28.94,5.74,14.53,8.66
92,2022-05-01,28.94,5.74,14.53,8.66
95,2022-08-01,28.46,5.39,14.53,8.53
100,2023-01-01,26.31,5.46,11.56,9.28
108,2023-09-01,27.23,5.46,12.48,9.28
