,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,21.95,4.87,7.27,9.8
65,2020-02-01,21.95,4.87,7.27,9.8
66,2020-03-01,21.95,4.87,7.27,9.8
70,2020-07-01,22.17,4.94,7.43,9.8
71,2020-08-01,22.17,4.94,7.43,9.8
73,2020-10-01,21.64,4.62,7.22,9.8
76,2021-01-01,17.57,4.63,5.15,7.79
77,2021-02-01,17.57,4.63,5.15,7.79
78,2021-03-01,17.76,4.82,5.15,7.79
80,2021-05-01,17.68,4.82,5.07,7.79
84,2021-09-01,17.41,4.55,5.07,7.79
89,2022-02-01,16.01,4.55,4.91,6.55
92,2022-05-01,16.01,4.55,4.91,6.55
95,2022-08-01,15.94,4.48,4.91,6.55
108,2023-09-01,22.06,5.16,7.27,9.63
