,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,23.15,13.32,2.06,7.78
65,2020-02-01,23.15,13.32,2.06,7.78
66,2020-03-01,24.6,13.27,2.06,9.28
70,2020-07-01,25.06,13.73,2.06,9.28
71,2020-08-01,25.06,13.73,2.06,9.28
73,2020-10-01,24.41,13.07,2.06,9.28
76,2021-01-01,26.27,13.06,2.26,10.96
77,2021-02-01,26.27,13.06,2.26,10.96
78,2021-03-01,22.81,11.8,1.75,9.27
80,2021-05-01,22.81,11.8,1.75,9.27
84,2021-09-01,23.19,11.93,1.75,9.52
89,2022-02-01,21.16,11.02,1.75,8.39
92,2022-05-01,21.16,11.02,1.75,8.39
95,2022-08-01,20.87,10.85,1.67,8.36
100,2023-01-01,20.87,10.85,1.67,8.36
108,2023-09-01,20.02,10.07,1.45,8.5
