,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,49.0,60.0,45.0,46.0
1,2014-10-01,49.0,60.0,45.0,46.0
2,2014-11-01,49.0,60.0,45.0,46.0
3,2014-12-01,49.0,60.0,45.0,46.0
4,2015-01-01,49.0,59.0,46.0,46.0
5,2015-02-01,49.0,59.0,46.0,46.0
6,2015-03-01,49.0,59.0,46.0,46.0
7,2015-04-01,49.0,59.0,46.0,46.0
8,2015-05-01,49.0,59.0,46.0,46.0
9,2015-06-01,49.0,59.0,46.0,46.0
10,2015-07-01,49.0,59.0,46.0,46.0
11,2015-08-01,49.0,59.0,46.0,46.0
12,2015-09-01,49.0,59.0,46.0,46.0
13,2015-10-01,49.0,59.0,46.0,46.0
14,2015-11-01,49.0,59.0,46.0,46.0
15,2015-12-01,49.0,59.0,46.0,46.0
16,2016-01-01,49.22,59.4,45.57,46.05
17,2016-02-01,49.22,59.4,45.57,46.05
18,2016-03-01,49.22,59.4,45.57,46.05
19,2016-04-01,47.71,59.4,45.57,42.27
20,2016-05-01,47.71,59.4,45.57,42.27
21,2016-06-01,47.71,59.4,45.57,42.27
22,2016-07-01,47.14,59.4,45.57,40.85
23,2016-08-01,47.14,59.4,45.57,40.85
24,2016-09-01,47.1,59.23,45.57,40.85
25,2016-10-01,47.1,59.23,45.57,40.85
26,2016-11-01,47.1,59.23,45.57,40.85
27,2016-12-01,45.65,61.98,37.14,42.88
28,2017-01-01,45.65,61.98,37.14,42.88
29,2017-02-01,45.65,61.98,37.14,42.88
30,2017-03-01,45.65,61.98,37.14,42.88
31,2017-04-01,45.65,61.98,37.14,42.88
32,2017-05-01,45.65,61.98,37.14,42.88
33,2017-06-01,45.65,61.98,37.14,42.88
34,2017-07-01,45.65,61.98,37.14,42.88
35,2017-08-01,45.65,61.98,37.14,42.88
36,2017-09-01,45.65,61.98,37.14,42.88
37,2017-10-01,45.77,58.08,38.65,44.32
38,2017-11-01,45.77,58.08,38.65,44.32
39,2017-12-01,49.39,59.58,46.11,45.88
40,2018-01-01,49.39,59.58,46.11,45.88
41,2018-02-01,49.39,59.58,46.11,45.88
42,2018-03-01,49.39,59.58,46.11,45.88
43,2018-04-01,49.39,59.58,46.11,45.88
44,2018-05-01,49.39,59.58,46.11,45.88
45,2018-06-01,49.39,59.58,46.11,45.88
46,2018-07-01,49.39,59.58,46.11,45.88
47,2018-08-01,49.39,59.58,46.11,45.88
48,2018-09-01,49.36,59.58,46.11,45.8
49,2018-10-01,49.43,59.88,46.11,45.8
50,2018-11-01,49.53,60.28,46.11,45.8
51,2018-12-01,49.53,60.28,46.11,45.8
52,2019-01-01,49.53,60.28,46.11,45.8
53,2019-02-01,49.53,60.28,46.11,45.8
54,2019-03-01,49.53,60.28,46.11,45.8
55,2019-04-01,49.53,60.28,46.11,45.8
56,2019-05-01,47.79,55.58,46.11,44.4
57,2019-06-01,47.73,55.58,46.11,44.25
58,2019-07-01,47.73,55.58,46.11,44.25
59,2019-08-01,47.73,55.58,46.11,44.25
60,2019-09-01,48.03,56.78,46.11,44.25
61,2019-10-01,48.03,56.78,46.11,44.25
62,2019-11-01,48.03,56.78,46.11,44.25
63,2019-12-01,47.22,56.78,43.34,44.64
64,2020-01-01,21.9,5.22,7.6,9.08
65,2020-02-01,21.9,5.22,7.6,9.08
66,2020-03-01,21.9,5.22,7.6,9.08
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,21.57,4.89,7.6,9.08
71,2020-08-01,21.57,4.89,7.6,9.08
72,2020-09-01,,,,
73,2020-10-01,21.57,4.89,7.6,9.08
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,21.96,4.89,7.71,9.36
77,2021-02-01,21.96,4.89,7.71,9.36
78,2021-03-01,21.96,4.89,7.71,9.36
79,2021-04-01,,,,
80,2021-05-01,23.57,5.43,9.11,9.03
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,23.72,5.43,9.26,9.03
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,21.06,5.02,8.73,7.31
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,21.06,5.02,8.73,7.31
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,20.87,4.86,8.73,7.28
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,20.87,4.86,8.73,7.28
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,21.42,4.92,9.19,7.31
