,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,19.33,4.18,13.08,2.07
65,2020-02-01,19.33,4.18,13.08,2.07
66,2020-03-01,19.33,4.18,13.08,2.07
70,2020-07-01,19.64,4.18,13.39,2.07
71,2020-08-01,19.68,4.22,13.39,2.07
73,2020-10-01,19.7,4.24,13.39,2.07
76,2021-01-01,19.7,4.24,13.39,2.07
77,2021-02-01,19.7,4.24,13.39,2.07
78,2021-03-01,15.34,4.1,9.83,1.41
80,2021-05-01,14.05,3.75,8.89,1.41
84,2021-09-01,14.05,3.75,8.89,1.41
89,2022-02-01,14.05,3.75,8.89,1.41
92,2022-05-01,14.11,3.8,8.89,1.41
95,2022-08-01,16.66,3.76,11.55,1.35
100,2023-01-01,16.75,3.76,11.65,1.35
108,2023-09-01,18.64,3.62,13.96,1.06
