,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,63.0,69.0,69.0,55.0
1,2014-10-01,63.0,69.0,69.0,55.0
2,2014-11-01,63.0,69.0,69.0,55.0
3,2014-12-01,63.0,69.0,69.0,55.0
4,2015-01-01,64.0,65.0,68.0,60.0
5,2015-02-01,64.0,65.0,68.0,60.0
6,2015-03-01,62.0,65.0,63.0,60.0
7,2015-04-01,66.0,65.0,70.0,64.0
8,2015-05-01,66.0,65.0,70.0,64.0
9,2015-06-01,66.0,65.0,70.0,64.0
10,2015-07-01,66.0,65.0,70.0,64.0
11,2015-08-01,66.0,65.0,70.0,64.0
12,2015-09-01,66.0,65.0,70.0,64.0
13,2015-10-01,66.0,65.0,69.0,64.0
14,2015-11-01,66.0,65.0,69.0,64.0
15,2015-12-01,66.0,65.0,70.0,63.0
16,2016-01-01,66.12,65.39,70.13,63.06
17,2016-02-01,64.7,59.75,70.13,63.06
18,2016-03-01,64.7,59.75,70.13,63.06
19,2016-04-01,63.27,62.1,68.7,59.25
20,2016-05-01,63.27,62.1,68.7,59.25
21,2016-06-01,62.07,62.1,68.7,56.25
22,2016-07-01,61.73,62.84,68.7,54.94
23,2016-08-01,62.68,62.84,68.7,57.31
24,2016-09-01,62.68,62.84,68.7,57.31
25,2016-10-01,62.68,62.84,68.7,57.31
26,2016-11-01,62.68,62.84,68.7,57.31
27,2016-12-01,62.68,62.84,68.7,57.31
28,2017-01-01,62.39,62.72,67.92,57.34
29,2017-02-01,61.82,62.72,67.92,55.92
30,2017-03-01,61.82,62.72,67.92,55.92
31,2017-04-01,61.82,62.72,67.92,55.92
32,2017-05-01,61.71,62.72,67.61,55.92
33,2017-06-01,65.1,62.72,72.94,59.72
34,2017-07-01,61.71,62.72,67.61,55.92
35,2017-08-01,64.81,61.58,72.94,59.72
36,2017-09-01,64.81,61.58,72.94,59.72
37,2017-10-01,64.39,57.8,73.06,60.91
38,2017-11-01,64.39,57.8,73.06,60.91
39,2017-12-01,64.39,57.8,73.06,60.91
40,2018-01-01,64.39,57.8,73.06,60.91
41,2018-02-01,63.83,55.59,73.06,60.91
42,2018-03-01,63.83,55.59,73.06,60.91
43,2018-04-01,63.83,55.59,73.06,60.91
44,2018-05-01,63.83,55.59,73.06,60.91
45,2018-06-01,63.83,55.59,73.06,60.91
46,2018-07-01,63.83,55.59,73.06,60.91
47,2018-08-01,63.83,55.59,73.06,60.91
48,2018-09-01,65.66,63.13,73.61,60.29
49,2018-10-01,65.56,63.13,76.04,57.91
50,2018-11-01,65.23,61.8,76.04,57.91
51,2018-12-01,63.52,61.8,71.17,57.91
52,2019-01-01,63.52,61.8,71.17,57.91
53,2019-02-01,63.52,61.8,71.17,57.91
54,2019-03-01,63.96,62.68,71.78,57.91
55,2019-04-01,63.96,62.68,71.78,57.91
56,2019-05-01,65.66,62.68,76.65,57.91
57,2019-06-01,65.66,62.68,76.65,57.91
58,2019-07-01,65.66,62.68,76.65,57.91
59,2019-08-01,65.72,62.68,76.65,58.04
60,2019-09-01,65.72,62.68,76.65,58.04
61,2019-10-01,66.19,61.58,75.34,61.06
62,2019-11-01,66.19,61.58,75.34,61.06
63,2019-12-01,28.79,8.09,6.62,14.07
64,2020-01-01,28.79,8.09,6.62,14.07
65,2020-02-01,28.79,8.09,6.62,14.07
66,2020-03-01,28.79,8.09,6.62,14.07
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,29.6,8.63,6.62,14.35
71,2020-08-01,29.6,8.63,6.62,14.35
72,2020-09-01,,,,
73,2020-10-01,24.56,9.31,3.79,11.47
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,24.41,9.31,3.79,11.32
77,2021-02-01,24.41,9.31,3.79,11.32
78,2021-03-01,24.41,9.31,3.79,11.32
79,2021-04-01,,,,
80,2021-05-01,23.32,8.22,3.79,11.32
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,23.85,8.75,3.79,11.32
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,22.87,8.72,3.65,10.5
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,22.87,8.72,3.65,10.5
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,23.79,9.49,3.57,10.73
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,28.45,11.49,3.42,13.54
