,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,50.0,48.0,48.0,53.0
1,2014-10-01,50.0,48.0,48.0,53.0
2,2014-11-01,50.0,48.0,48.0,53.0
3,2014-12-01,55.0,52.0,52.0,61.0
4,2015-01-01,55.0,52.0,52.0,61.0
5,2015-02-01,55.0,52.0,52.0,61.0
6,2015-03-01,54.0,52.0,51.0,58.0
7,2015-04-01,54.0,52.0,51.0,58.0
8,2015-05-01,53.0,49.0,51.0,58.0
9,2015-06-01,53.0,49.0,51.0,58.0
10,2015-07-01,53.0,49.0,51.0,58.0
11,2015-08-01,53.0,49.0,51.0,58.0
12,2015-09-01,53.0,49.0,51.0,58.0
13,2015-10-01,53.0,49.0,51.0,58.0
14,2015-11-01,53.0,49.0,51.0,58.0
15,2015-12-01,53.0,49.0,51.0,58.0
16,2016-01-01,52.88,49.1,51.0,58.28
17,2016-02-01,52.88,49.1,51.0,58.28
18,2016-03-01,52.88,49.1,51.0,58.28
19,2016-04-01,51.74,50.79,51.0,53.57
20,2016-05-01,51.74,50.79,51.0,53.57
21,2016-06-01,51.74,50.79,51.0,53.57
22,2016-07-01,51.62,50.79,50.58,53.57
23,2016-08-01,51.62,50.79,50.58,53.57
24,2016-09-01,53.42,50.79,50.58,59.18
25,2016-10-01,53.42,50.79,50.58,59.18
26,2016-11-01,53.42,50.79,50.58,59.18
27,2016-12-01,53.42,50.79,50.58,59.18
28,2017-01-01,57.33,53.38,56.92,62.4
29,2017-02-01,57.33,53.38,56.92,62.4
30,2017-03-01,57.33,53.38,56.92,62.4
31,2017-04-01,57.33,53.38,56.92,62.4
32,2017-05-01,57.33,53.38,56.92,62.4
33,2017-06-01,57.33,53.38,56.92,62.4
34,2017-07-01,57.33,53.38,56.92,62.4
35,2017-08-01,57.33,53.38,56.92,62.4
36,2017-09-01,60.22,54.67,64.92,62.4
37,2017-10-01,60.18,53.38,65.0,63.73
38,2017-11-01,60.18,53.38,65.0,63.73
39,2017-12-01,60.18,53.38,65.0,63.73
40,2018-01-01,60.18,53.38,65.0,63.73
41,2018-02-01,60.18,53.38,65.0,63.73
42,2018-03-01,60.18,53.38,65.0,63.73
43,2018-04-01,60.18,53.38,65.0,63.73
44,2018-05-01,60.18,53.38,65.0,63.73
45,2018-06-01,60.18,53.38,65.0,63.73
46,2018-07-01,60.18,53.38,65.0,63.73
47,2018-08-01,60.18,53.38,65.0,63.73
48,2018-09-01,60.18,53.38,65.0,63.73
49,2018-10-01,63.17,58.62,68.33,63.73
50,2018-11-01,63.27,58.87,68.33,63.73
51,2018-12-01,63.27,58.87,68.33,63.73
52,2019-01-01,63.27,58.87,68.33,63.73
53,2019-02-01,63.27,58.87,68.33,63.73
54,2019-03-01,63.39,58.87,68.75,63.73
55,2019-04-01,63.39,58.87,68.75,63.73
56,2019-05-01,63.39,58.87,68.75,63.73
57,2019-06-01,63.39,58.87,68.75,63.73
58,2019-07-01,63.39,58.87,68.75,63.73
59,2019-08-01,63.39,58.87,68.75,63.73
60,2019-09-01,63.43,58.98,68.75,63.73
61,2019-10-01,65.03,59.03,75.42,62.4
62,2019-11-01,65.03,59.03,75.42,62.4
63,2019-12-01,20.39,8.22,1.69,10.48
64,2020-01-01,20.34,8.18,1.69,10.48
65,2020-02-01,20.34,8.18,1.69,10.48
66,2020-03-01,20.34,8.18,1.69,10.48
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,20.16,7.99,1.69,10.48
71,2020-08-01,20.16,7.99,1.69,10.48
72,2020-09-01,,,,
73,2020-10-01,21.25,8.47,1.39,11.4
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,22.86,8.69,1.77,12.39
77,2021-02-01,22.86,8.69,1.77,12.39
78,2021-03-01,22.86,8.69,1.77,12.39
79,2021-04-01,,,,
80,2021-05-01,22.46,8.3,1.77,12.39
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,22.46,8.3,1.77,12.39
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,22.64,9.17,1.73,11.75
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,22.34,8.86,1.73,11.75
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,22.34,8.86,1.73,11.75
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,,,,
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,26.07,10.83,1.94,13.29
