,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,54.0,65.0,44.0,59.0
1,2014-10-01,54.0,65.0,44.0,59.0
2,2014-11-01,56.0,66.0,46.0,60.0
3,2014-12-01,56.0,66.0,46.0,60.0
4,2015-01-01,56.0,66.0,46.0,60.0
5,2015-02-01,56.0,66.0,46.0,60.0
6,2015-03-01,56.0,66.0,46.0,60.0
7,2015-04-01,56.0,66.0,46.0,60.0
8,2015-05-01,56.0,66.0,46.0,60.0
9,2015-06-01,56.0,66.0,46.0,60.0
10,2015-07-01,56.0,66.0,46.0,60.0
11,2015-08-01,56.0,66.0,46.0,60.0
12,2015-09-01,56.0,66.0,46.0,60.0
13,2015-10-01,56.0,66.0,46.0,60.0
14,2015-11-01,56.0,66.0,46.0,60.0
15,2015-12-01,56.0,66.0,46.0,60.0
16,2016-01-01,56.69,65.65,49.75,58.21
17,2016-02-01,56.69,65.65,49.75,58.21
18,2016-03-01,56.69,65.65,49.75,58.21
19,2016-04-01,55.73,65.65,49.71,55.52
20,2016-05-01,55.73,65.65,49.71,55.52
21,2016-06-01,55.73,65.65,49.71,55.52
22,2016-07-01,55.73,65.65,49.71,55.52
23,2016-08-01,55.73,65.65,49.71,55.52
24,2016-09-01,55.73,65.65,49.71,55.52
25,2016-10-01,55.73,65.65,49.71,55.52
26,2016-11-01,55.73,65.65,49.71,55.52
27,2016-12-01,55.73,65.65,49.71,55.52
28,2017-01-01,57.13,72.85,48.73,55.51
29,2017-02-01,57.13,72.85,48.73,55.51
30,2017-03-01,57.1,72.85,48.73,55.44
31,2017-04-01,57.1,72.85,48.73,55.44
32,2017-05-01,57.1,72.85,48.73,55.44
33,2017-06-01,57.1,72.85,48.73,55.44
34,2017-07-01,57.1,72.85,48.73,55.44
35,2017-08-01,57.1,72.85,48.73,55.44
36,2017-09-01,57.98,66.65,52.54,58.01
37,2017-10-01,57.45,64.25,53.47,57.16
38,2017-11-01,57.45,64.25,53.47,57.16
39,2017-12-01,61.61,64.25,63.86,57.16
40,2018-01-01,61.61,64.25,63.86,57.16
41,2018-02-01,61.61,64.25,63.86,57.16
42,2018-03-01,61.61,64.25,63.86,57.16
43,2018-04-01,61.61,64.25,63.86,57.16
44,2018-05-01,61.61,64.25,63.86,57.16
45,2018-06-01,61.61,64.25,63.86,57.16
46,2018-07-01,61.56,64.25,63.86,57.02
47,2018-08-01,61.56,64.25,63.86,57.02
48,2018-09-01,61.56,64.25,63.86,57.02
49,2018-10-01,61.62,64.25,64.0,57.02
50,2018-11-01,61.32,63.05,64.0,57.02
51,2018-12-01,61.32,63.05,64.0,57.02
52,2019-01-01,61.32,63.05,64.0,57.02
53,2019-02-01,61.32,63.05,64.0,57.02
54,2019-03-01,63.43,64.35,66.8,58.92
55,2019-04-01,63.43,64.35,66.8,58.92
56,2019-05-01,63.43,64.35,66.8,58.92
57,2019-06-01,63.43,64.35,66.8,58.92
58,2019-07-01,63.43,64.35,66.8,58.92
59,2019-08-01,63.43,64.35,66.8,58.92
60,2019-09-01,63.43,64.35,66.8,58.92
61,2019-10-01,63.43,64.35,66.8,58.92
62,2019-11-01,63.63,65.15,66.8,58.92
63,2019-12-01,62.9,64.15,65.6,58.92
64,2020-01-01,30.96,6.79,8.66,15.51
65,2020-02-01,30.96,6.79,8.66,15.51
66,2020-03-01,30.96,6.79,8.66,15.51
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,33.04,7.17,10.34,15.53
71,2020-08-01,33.01,7.17,10.31,15.53
72,2020-09-01,,,,
73,2020-10-01,33.42,7.58,10.31,15.53
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,33.4,7.56,10.31,15.53
77,2021-02-01,33.4,7.56,10.31,15.53
78,2021-03-01,33.4,7.56,10.31,15.53
79,2021-04-01,,,,
80,2021-05-01,29.79,6.98,9.12,13.7
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,29.4,6.59,9.12,13.7
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,29.4,6.59,9.12,13.7
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,29.4,6.59,9.12,13.7
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,29.3,6.59,9.12,13.6
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,22.74,6.07,6.66,10.01
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,22.06,6.07,5.97,10.01
