,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,18.44,5.84,6.17,6.44
65,2020-02-01,18.44,5.84,6.17,6.44
66,2020-03-01,18.44,5.84,6.17,6.44
70,2020-07-01,18.44,5.84,6.17,6.44
71,2020-08-01,18.44,5.84,6.17,6.44
73,2020-10-01,18.01,5.4,6.17,6.44
76,2021-01-01,14.65,5.48,4.92,4.25
77,2021-02-01,14.65,5.48,4.92,4.25
78,2021-03-01,14.65,5.48,4.92,4.25
80,2021-05-01,14.65,5.48,4.92,4.25
84,2021-09-01,12.3,5.24,4.51,2.55
89,2022-02-01,12.3,5.24,4.51,2.55
92,2022-05-01,12.3,5.24,4.51,2.55
95,2022-08-01,12.3,5.24,4.51,2.55
108,2023-09-01,13.05,5.7,4.74,2.61
