,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,18.95,6.52,1.28,11.16
65,2020-02-01,18.95,6.52,1.28,11.16
66,2020-03-01,18.95,6.52,1.28,11.16
70,2020-07-01,18.81,6.37,1.28,11.16
71,2020-08-01,18.81,6.37,1.28,11.16
73,2020-10-01,18.83,6.39,1.28,11.16
76,2021-01-01,18.83,6.39,1.28,11.16
77,2021-02-01,18.83,6.39,1.28,11.16
78,2021-03-01,19.41,5.45,1.24,12.72
80,2021-05-01,19.62,5.66,1.24,12.72
84,2021-09-01,19.62,5.66,1.24,12.72
89,2022-02-01,19.62,5.66,1.24,12.72
92,2022-05-01,19.37,5.41,1.24,12.72
95,2022-08-01,19.11,5.15,1.24,12.72
100,2023-01-01,18.93,5.4,4.92,8.61
108,2023-09-01,18.9,5.37,4.92,8.61
