,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,45.21,9.17,23.32,12.72
65,2020-02-01,45.21,9.17,23.32,12.72
66,2020-03-01,45.21,9.17,23.32,12.72
70,2020-07-01,45.26,9.17,23.36,12.72
71,2020-08-01,45.26,9.17,23.36,12.72
73,2020-10-01,44.97,8.89,23.36,12.72
76,2021-01-01,37.39,8.89,18.03,10.48
77,2021-02-01,37.39,8.89,18.03,10.48
78,2021-03-01,34.75,8.8,16.81,9.14
80,2021-05-01,33.08,8.8,15.15,9.14
89,2022-02-01,36.08,8.95,18.17,8.97
92,2022-05-01,36.53,9.1,18.46,8.97
95,2022-08-01,36.74,9.1,18.67,8.97
108,2023-09-01,32.1,7.33,16.52,8.25
