,timestamp,esgScore,governanceScore,environmentScore,socialScore
49,2020-01-01,19.42,7.7,0.09,11.64
50,2020-02-01,19.42,7.7,0.09,11.64
51,2020-03-01,19.42,7.7,0.09,11.64
55,2020-07-01,17.95,6.71,0.09,11.15
56,2020-08-01,17.95,6.71,0.09,11.15
58,2020-10-01,17.97,6.73,0.09,11.15
61,2021-01-01,17.97,6.73,0.09,11.15
62,2021-02-01,17.7,6.46,0.09,11.15
63,2021-03-01,17.7,6.46,0.09,11.15
65,2021-05-01,17.7,6.46,0.09,11.15
69,2021-09-01,16.2,6.07,0.74,9.39
74,2022-02-01,16.39,5.76,0.74,9.89
77,2022-05-01,16.41,5.76,0.71,9.94
80,2022-08-01,15.99,5.36,0.71,9.92
93,2023-09-01,17.77,5.75,2.83,9.19
