,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2015-12-01,51.0,61.0,47.0,49.0
1,2016-01-01,51.41,61.45,47.31,48.92
2,2016-02-01,51.41,61.45,47.31,48.92
3,2016-03-01,51.41,61.45,47.31,48.92
4,2016-04-01,51.84,61.45,46.84,50.69
5,2016-05-01,51.84,61.45,46.84,50.69
6,2016-06-01,51.56,61.45,46.15,50.69
7,2016-07-01,50.47,61.45,43.43,50.69
8,2016-08-01,50.47,61.45,43.43,50.69
9,2016-09-01,50.47,61.45,43.43,50.69
10,2016-10-01,50.47,61.45,43.43,50.69
11,2016-11-01,50.47,61.45,43.43,50.69
12,2016-12-01,50.47,61.45,43.43,50.69
13,2017-01-01,52.95,61.45,43.7,57.46
14,2017-02-01,52.95,61.45,43.7,57.46
15,2017-03-01,52.95,61.45,43.7,57.46
16,2017-04-01,52.95,61.45,43.7,57.46
17,2017-05-01,52.95,61.45,43.7,57.46
18,2017-06-01,52.95,61.45,43.7,57.46
19,2017-07-01,52.95,61.45,43.7,57.46
20,2017-08-01,52.95,61.45,43.7,57.46
21,2017-09-01,56.12,61.45,49.56,59.82
22,2017-10-01,56.93,58.85,51.56,61.7
23,2017-11-01,56.93,58.85,51.56,61.7
24,2017-12-01,56.93,58.85,51.56,61.7
25,2018-01-01,56.93,58.85,51.56,61.7
26,2018-02-01,56.93,58.85,51.56,61.7
27,2018-03-01,56.93,58.85,51.56,61.7
28,2018-04-01,56.93,58.85,51.56,61.7
29,2018-05-01,56.93,58.85,51.56,61.7
30,2018-06-01,56.93,58.85,51.56,61.7
31,2018-07-01,56.93,58.85,51.56,61.7
32,2018-08-01,56.93,58.85,51.56,61.7
33,2018-09-01,56.93,58.85,51.56,61.7
34,2018-10-01,57.53,61.25,51.56,61.72
35,2018-11-01,57.33,60.45,51.56,61.72
36,2018-12-01,57.33,60.45,51.56,61.72
37,2019-01-01,57.86,60.45,51.65,63.12
38,2019-02-01,57.86,60.45,51.65,63.12
39,2019-03-01,57.86,60.45,51.65,63.12
40,2019-04-01,57.86,60.45,51.65,63.12
41,2019-05-01,57.86,60.45,51.65,63.12
42,2019-06-01,57.86,60.45,51.65,63.12
43,2019-07-01,57.59,59.35,51.65,63.12
44,2019-08-01,57.59,59.35,51.65,63.12
45,2019-09-01,57.59,59.35,51.65,63.12
46,2019-10-01,57.59,59.35,51.65,63.12
47,2019-11-01,57.59,59.35,51.65,63.12
48,2019-12-01,56.53,58.55,50.55,61.92
49,2020-01-01,36.43,7.78,19.64,9.0
50,2020-02-01,36.43,7.78,19.64,9.0
51,2020-03-01,36.43,7.78,19.64,9.0
52,2020-04-01,,,,
53,2020-05-01,,,,
54,2020-06-01,,,,
55,2020-07-01,36.2,7.55,19.64,9.0
56,2020-08-01,36.2,7.55,19.64,9.0
57,2020-09-01,,,,
58,2020-10-01,36.22,7.58,19.64,9.0
59,2020-11-01,,,,
60,2020-12-01,,,,
61,2021-01-01,32.08,7.3,15.88,8.91
62,2021-02-01,32.08,7.3,15.88,8.91
63,2021-03-01,31.97,7.19,15.88,8.91
64,2021-04-01,,,,
65,2021-05-01,32.18,7.19,16.08,8.91
66,2021-06-01,,,,
67,2021-07-01,,,,
68,2021-08-01,,,,
69,2021-09-01,32.18,7.19,16.08,8.91
70,2021-10-01,,,,
71,2021-11-01,,,,
72,2021-12-01,,,,
73,2022-01-01,,,,
74,2022-02-01,32.3,7.32,16.08,8.91
75,2022-03-01,,,,
76,2022-04-01,,,,
77,2022-05-01,29.08,7.46,13.12,8.5
78,2022-06-01,,,,
79,2022-07-01,,,,
80,2022-08-01,29.08,7.46,13.12,8.5
81,2022-09-01,,,,
82,2022-10-01,,,,
83,2022-11-01,,,,
84,2022-12-01,,,,
85,2023-01-01,29.08,7.46,13.12,8.5
86,2023-02-01,,,,
87,2023-03-01,,,,
88,2023-04-01,,,,
89,2023-05-01,,,,
90,2023-06-01,,,,
91,2023-07-01,,,,
92,2023-08-01,,,,
93,2023-09-01,28.52,7.7,12.32,8.5
