,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,63.0,72.0,55.0,65.0
1,2014-10-01,63.0,72.0,55.0,65.0
2,2014-11-01,63.0,72.0,55.0,65.0
3,2014-12-01,62.0,72.0,55.0,63.0
4,2015-01-01,62.0,68.0,55.0,65.0
5,2015-02-01,62.0,68.0,55.0,65.0
6,2015-03-01,62.0,68.0,55.0,65.0
7,2015-04-01,68.0,72.0,62.0,71.0
8,2015-05-01,68.0,72.0,62.0,71.0
9,2015-06-01,67.0,72.0,62.0,70.0
10,2015-07-01,67.0,72.0,62.0,70.0
11,2015-08-01,67.0,72.0,62.0,70.0
12,2015-09-01,67.0,72.0,62.0,70.0
13,2015-10-01,67.0,72.0,62.0,70.0
14,2015-11-01,67.0,72.0,62.0,70.0
15,2015-12-01,69.0,75.0,66.0,67.0
16,2016-01-01,68.57,74.65,65.93,67.25
17,2016-02-01,68.57,74.65,65.93,67.25
18,2016-03-01,68.57,74.65,65.93,67.25
19,2016-04-01,68.44,74.65,65.94,66.87
20,2016-05-01,68.44,74.65,65.94,66.87
21,2016-06-01,68.44,74.65,65.94,66.87
22,2016-07-01,68.44,74.65,65.94,66.87
23,2016-08-01,68.38,74.65,65.78,66.87
24,2016-09-01,68.38,74.65,65.78,66.87
25,2016-10-01,68.38,74.65,65.78,66.87
26,2016-11-01,68.38,74.65,65.78,66.87
27,2016-12-01,68.38,74.65,65.78,66.87
28,2017-01-01,68.38,74.65,65.78,66.87
29,2017-02-01,68.38,74.65,65.78,66.87
30,2017-03-01,68.38,74.65,65.78,66.87
31,2017-04-01,69.68,74.15,67.65,68.82
32,2017-05-01,69.68,74.15,67.65,68.82
33,2017-06-01,69.68,74.15,67.65,68.82
34,2017-07-01,69.68,74.15,67.65,68.82
35,2017-08-01,69.68,74.15,67.65,68.82
36,2017-09-01,69.68,74.15,67.65,68.82
37,2017-10-01,70.2,73.85,68.44,69.59
38,2017-11-01,70.2,73.85,68.44,69.59
39,2017-12-01,70.2,73.85,68.44,69.59
40,2018-01-01,70.2,73.85,68.44,69.59
41,2018-02-01,70.2,73.85,68.44,69.59
42,2018-03-01,70.2,73.85,68.44,69.59
43,2018-04-01,72.19,75.69,75.25,66.18
44,2018-05-01,72.19,75.69,75.25,66.18
45,2018-06-01,72.19,75.69,75.25,66.18
46,2018-07-01,72.19,75.69,75.25,66.18
47,2018-08-01,72.19,75.69,75.25,66.18
48,2018-09-01,72.19,75.69,75.25,66.18
49,2018-10-01,72.19,75.69,75.25,66.18
50,2018-11-01,71.89,74.49,75.25,66.18
51,2018-12-01,71.89,74.49,75.25,66.18
52,2019-01-01,71.89,74.49,75.25,66.18
53,2019-02-01,71.89,74.49,75.25,66.18
54,2019-03-01,70.99,74.49,75.25,63.62
55,2019-04-01,70.99,74.49,75.25,63.62
56,2019-05-01,70.19,75.99,70.62,65.56
57,2019-06-01,70.32,75.99,70.95,65.56
58,2019-07-01,69.09,75.99,67.86,65.56
59,2019-08-01,69.09,75.99,67.86,65.56
60,2019-09-01,69.09,75.99,67.86,65.56
61,2019-10-01,69.09,75.99,67.86,65.56
62,2019-11-01,69.31,76.89,67.86,65.56
63,2019-12-01,67.24,77.29,65.81,61.69
64,2020-01-01,21.97,4.08,9.9,7.98
65,2020-02-01,21.97,4.08,9.9,7.98
66,2020-03-01,22.51,4.13,9.56,8.81
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,22.45,4.13,9.5,8.81
71,2020-08-01,22.45,4.13,9.5,8.81
72,2020-09-01,,,,
73,2020-10-01,22.31,4.0,9.5,8.81
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,22.31,4.0,9.5,8.81
77,2021-02-01,22.31,4.0,9.5,8.81
78,2021-03-01,22.31,4.0,9.5,8.81
79,2021-04-01,,,,
80,2021-05-01,22.48,4.0,9.67,8.81
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,21.34,4.16,9.14,8.04
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,21.34,4.16,9.14,8.04
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,21.34,4.16,9.14,8.04
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,21.34,4.16,9.14,8.04
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,20.97,3.79,9.14,8.04
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,20.71,4.88,8.15,7.68
