,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,10.53,4.4,3.12,3.01
65,2020-02-01,10.53,4.4,3.12,3.01
66,2020-03-01,10.53,4.4,3.12,3.01
70,2020-07-01,10.58,4.45,3.12,3.01
71,2020-08-01,10.58,4.45,3.12,3.01
73,2020-10-01,10.6,4.47,3.12,3.01
76,2021-01-01,12.03,4.69,3.76,3.58
77,2021-02-01,12.03,4.69,3.76,3.58
78,2021-03-01,12.03,4.69,3.76,3.58
80,2021-05-01,10.6,4.47,3.12,3.01
84,2021-09-01,11.93,4.66,3.7,3.57
89,2022-02-01,10.97,4.55,3.56,2.86
92,2022-05-01,10.97,4.55,3.56,2.86
95,2022-08-01,10.88,4.45,3.56,2.86
100,2023-01-01,10.88,4.45,3.56,2.86
108,2023-09-01,11.71,4.77,3.72,3.21
