,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,50.0,56.0,46.0,51.0
1,2014-10-01,50.0,56.0,46.0,51.0
2,2014-11-01,50.0,56.0,46.0,51.0
3,2014-12-01,50.0,56.0,46.0,51.0
4,2015-01-01,49.0,61.0,42.0,50.0
5,2015-02-01,49.0,61.0,42.0,50.0
6,2015-03-01,49.0,61.0,40.0,50.0
7,2015-04-01,49.0,61.0,40.0,50.0
8,2015-05-01,49.0,61.0,40.0,50.0
9,2015-06-01,49.0,61.0,40.0,50.0
10,2015-07-01,49.0,61.0,40.0,50.0
11,2015-08-01,49.0,61.0,40.0,50.0
12,2015-09-01,49.0,61.0,40.0,50.0
13,2015-10-01,49.0,61.0,40.0,50.0
14,2015-11-01,49.0,61.0,40.0,50.0
15,2015-12-01,48.0,60.0,41.0,47.0
16,2016-01-01,48.15,60.35,41.37,47.17
17,2016-02-01,48.15,60.35,41.37,47.17
18,2016-03-01,48.15,60.35,41.37,47.17
19,2016-04-01,45.95,60.35,40.75,41.6
20,2016-05-01,45.95,60.35,40.75,41.6
21,2016-06-01,45.95,60.35,40.75,41.6
22,2016-07-01,45.95,60.35,40.75,41.6
23,2016-08-01,45.95,60.35,40.75,41.6
24,2016-09-01,45.95,60.35,40.75,41.6
25,2016-10-01,45.95,60.35,40.75,41.6
26,2016-11-01,45.95,60.35,40.75,41.6
27,2016-12-01,45.95,60.35,40.75,41.6
28,2017-01-01,45.95,60.35,40.75,41.6
29,2017-02-01,45.95,60.35,40.75,41.6
30,2017-03-01,45.95,60.35,40.75,41.6
31,2017-04-01,49.05,70.05,40.75,43.54
32,2017-05-01,49.05,70.05,40.75,43.54
33,2017-06-01,49.05,70.05,40.75,43.54
34,2017-07-01,49.05,70.05,40.75,43.54
35,2017-08-01,49.05,70.05,40.75,43.54
36,2017-09-01,49.05,70.05,40.75,43.54
37,2017-10-01,49.32,67.05,42.38,44.61
38,2017-11-01,49.32,67.05,42.38,44.61
39,2017-12-01,49.32,67.05,42.38,44.61
40,2018-01-01,49.32,67.05,42.38,44.61
41,2018-02-01,49.32,67.05,42.38,44.61
42,2018-03-01,49.37,67.05,42.38,44.75
43,2018-04-01,45.76,58.55,42.38,40.51
44,2018-05-01,45.76,58.55,42.38,40.51
45,2018-06-01,45.76,58.55,42.38,40.51
46,2018-07-01,45.76,58.55,42.38,40.51
47,2018-08-01,45.76,58.55,42.38,40.51
48,2018-09-01,45.76,58.55,42.38,40.51
49,2018-10-01,45.76,58.55,42.38,40.51
50,2018-11-01,45.86,58.95,42.38,40.51
51,2018-12-01,45.84,59.05,42.38,40.36
52,2019-01-01,45.84,59.05,42.38,40.36
53,2019-02-01,45.84,59.05,42.38,40.36
54,2019-03-01,45.84,59.05,42.38,40.36
55,2019-04-01,45.84,59.05,42.38,40.36
56,2019-05-01,45.84,59.05,42.38,40.36
57,2019-06-01,45.84,59.05,42.38,40.36
58,2019-07-01,45.84,59.05,42.38,40.36
59,2019-08-01,45.84,59.05,42.38,40.36
60,2019-09-01,49.63,64.05,44.25,45.47
61,2019-10-01,49.63,64.05,44.25,45.47
62,2019-11-01,49.6,63.95,44.25,45.47
63,2019-12-01,47.37,62.95,39.53,45.2
64,2020-01-01,11.45,3.92,0.1,7.43
65,2020-02-01,11.45,3.92,0.1,7.43
66,2020-03-01,11.45,3.92,0.1,7.43
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,11.45,3.92,0.1,7.43
71,2020-08-01,11.3,3.77,0.1,7.43
72,2020-09-01,,,,
73,2020-10-01,11.32,3.79,0.1,7.43
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,11.32,3.79,0.1,7.43
77,2021-02-01,11.32,3.79,0.1,7.43
78,2021-03-01,11.32,3.79,0.1,7.43
79,2021-04-01,,,,
80,2021-05-01,11.32,3.79,0.1,7.43
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,9.39,3.56,0.07,5.76
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,9.39,3.56,0.07,5.76
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,9.39,3.56,0.07,5.76
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,9.26,3.52,0.07,5.66
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,10.93,3.46,0.1,7.37
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,10.86,3.39,0.1,7.37
