,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,14.51,6.8,1.2,6.51
65,2020-02-01,14.51,6.8,1.2,6.51
66,2020-03-01,14.03,6.75,1.21,6.07
70,2020-07-01,13.55,5.85,1.33,6.38
71,2020-08-01,13.55,5.85,1.33,6.38
73,2020-10-01,13.58,5.87,1.33,6.38
76,2021-01-01,13.84,5.94,1.29,6.61
77,2021-02-01,13.84,5.94,1.29,6.61
78,2021-03-01,13.84,5.94,1.29,6.61
80,2021-05-01,13.55,5.65,1.29,6.61
84,2021-09-01,13.57,5.65,1.29,6.63
89,2022-02-01,13.57,5.65,1.29,6.63
92,2022-05-01,13.18,5.28,1.09,6.8
95,2022-08-01,13.18,5.28,1.09,6.8
100,2023-01-01,13.21,5.28,1.14,6.79
108,2023-09-01,14.62,5.62,1.22,7.79
