,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2015-10-01,68.0,64.0,69.0,70.0
1,2015-11-01,67.0,64.0,64.0,70.0
2,2015-12-01,67.0,64.0,64.0,71.0
3,2016-01-01,66.81,63.7,63.9,70.5
4,2016-02-01,66.81,63.7,63.9,70.5
5,2016-03-01,66.81,63.7,63.9,70.5
6,2016-04-01,66.16,63.7,64.9,68.5
7,2016-05-01,66.16,63.7,64.9,68.5
8,2016-06-01,66.16,63.7,64.9,68.5
9,2016-07-01,66.16,63.7,64.9,68.5
10,2016-08-01,66.16,63.7,64.9,68.5
11,2016-09-01,66.16,63.7,64.9,68.5
12,2016-10-01,66.16,63.7,64.9,68.5
13,2016-11-01,66.16,63.7,64.9,68.5
14,2016-12-01,66.16,63.7,64.9,68.5
15,2017-01-01,65.66,62.03,64.9,68.5
16,2017-02-01,65.66,62.03,64.9,68.5
17,2017-03-01,65.66,62.03,64.9,68.5
18,2017-04-01,65.66,62.03,64.9,68.5
19,2017-05-01,65.66,62.03,64.9,68.5
20,2017-06-01,65.66,62.03,64.9,68.5
21,2017-07-01,65.66,62.03,64.9,68.5
22,2017-08-01,65.66,62.03,64.9,68.5
23,2017-09-01,65.66,62.03,64.9,68.5
24,2017-10-01,64.86,59.53,64.7,68.5
25,2017-11-01,64.86,59.53,64.7,68.5
26,2017-12-01,64.86,59.53,64.7,68.5
27,2018-01-01,64.86,59.53,64.7,68.5
28,2018-02-01,64.86,59.53,64.7,68.5
29,2018-03-01,63.68,57.62,62.3,68.5
30,2018-04-01,63.68,57.62,62.3,68.5
31,2018-05-01,63.68,57.62,62.3,68.5
32,2018-06-01,63.68,57.62,62.3,68.5
33,2018-07-01,63.68,57.62,62.3,68.5
34,2018-08-01,63.68,57.62,62.3,68.5
35,2018-09-01,63.68,57.62,62.3,68.5
36,2018-10-01,63.68,57.62,62.3,68.5
37,2018-11-01,63.38,56.62,62.3,68.5
38,2018-12-01,63.38,56.62,62.3,68.5
39,2019-01-01,63.38,56.62,62.3,68.5
40,2019-02-01,63.38,56.62,62.3,68.5
41,2019-03-01,63.38,56.62,62.3,68.5
42,2019-04-01,63.43,56.62,62.3,68.61
43,2019-05-01,63.43,56.62,62.3,68.61
44,2019-06-01,63.88,58.12,62.3,68.61
45,2019-07-01,63.88,58.12,62.3,68.61
46,2019-08-01,63.88,58.12,62.3,68.61
47,2019-09-01,63.88,58.12,62.3,68.61
48,2019-10-01,63.88,58.12,62.3,68.61
49,2019-11-01,63.27,58.12,60.3,68.35
50,2019-12-01,62.57,58.28,57.33,68.35
51,2020-01-01,27.45,10.84,4.42,12.2
52,2020-02-01,27.75,11.14,4.42,12.2
53,2020-03-01,27.92,11.01,4.42,12.5
54,2020-04-01,,,,
55,2020-05-01,,,,
56,2020-06-01,,,,
57,2020-07-01,27.53,10.62,4.42,12.5
58,2020-08-01,27.53,10.62,4.42,12.5
59,2020-09-01,,,,
60,2020-10-01,27.55,10.64,4.42,12.5
61,2020-11-01,,,,
62,2020-12-01,,,,
63,2021-01-01,27.55,10.64,4.42,12.5
64,2021-02-01,27.55,10.64,4.42,12.5
65,2021-03-01,27.44,10.53,4.42,12.5
66,2021-04-01,,,,
67,2021-05-01,26.65,10.53,3.62,12.5
68,2021-06-01,,,,
69,2021-07-01,,,,
70,2021-08-01,,,,
71,2021-09-01,26.65,10.53,3.62,12.5
72,2021-10-01,,,,
73,2021-11-01,,,,
74,2021-12-01,,,,
75,2022-01-01,,,,
76,2022-02-01,26.46,10.71,3.36,12.38
77,2022-03-01,,,,
78,2022-04-01,,,,
79,2022-05-01,26.46,10.71,3.36,12.38
80,2022-06-01,,,,
81,2022-07-01,,,,
82,2022-08-01,26.41,10.63,3.36,12.41
83,2022-09-01,,,,
84,2022-10-01,,,,
85,2022-11-01,,,,
86,2022-12-01,,,,
87,2023-01-01,26.41,10.63,3.36,12.41
88,2023-02-01,,,,
89,2023-03-01,,,,
90,2023-04-01,,,,
91,2023-05-01,,,,
92,2023-06-01,,,,
93,2023-07-01,,,,
94,2023-08-01,,,,
95,2023-09-01,26.39,10.43,3.54,12.41
