,timestamp,esgScore,governanceScore,environmentScore,socialScore
64,2020-01-01,22.42,6.81,6.55,9.06
65,2020-02-01,22.42,6.81,6.55,9.06
66,2020-03-01,22.49,6.81,6.55,9.12
70,2020-07-01,22.09,6.81,6.15,9.12
71,2020-08-01,22.17,6.82,5.28,10.08
73,2020-10-01,22.2,6.84,5.28,10.08
76,2021-01-01,22.04,6.69,5.28,10.08
77,2021-02-01,22.04,6.69,5.28,10.08
78,2021-03-01,22.04,6.69,5.28,10.08
80,2021-05-01,22.17,6.69,5.4,10.08
84,2021-09-01,19.49,5.88,6.31,7.3
89,2022-02-01,19.68,6.08,6.31,7.3
92,2022-05-01,19.68,6.08,6.31,7.3
95,2022-08-01,19.68,6.08,6.31,7.3
100,2023-01-01,17.67,5.65,5.37,6.64
108,2023-09-01,17.67,5.65,5.37,6.64
