,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,43.0,57.0,40.0,37.0
1,2014-10-01,44.0,59.0,40.0,39.0
2,2014-11-01,44.0,59.0,40.0,39.0
3,2014-12-01,44.0,59.0,40.0,39.0
4,2015-01-01,44.0,59.0,40.0,39.0
5,2015-02-01,44.0,59.0,40.0,39.0
6,2015-03-01,44.0,59.0,40.0,39.0
7,2015-04-01,44.0,59.0,40.0,39.0
8,2015-05-01,44.0,59.0,40.0,39.0
9,2015-06-01,44.0,59.0,40.0,39.0
10,2015-07-01,44.0,59.0,40.0,39.0
11,2015-08-01,44.0,59.0,40.0,39.0
12,2015-09-01,44.0,59.0,40.0,39.0
13,2015-10-01,44.0,59.0,40.0,39.0
14,2015-11-01,44.0,59.0,40.0,39.0
15,2015-12-01,45.0,64.0,40.0,39.0
16,2016-01-01,45.42,63.85,40.3,38.61
17,2016-02-01,45.42,63.85,40.3,38.61
18,2016-03-01,45.42,63.85,40.3,38.61
19,2016-04-01,44.32,63.85,40.27,36.16
20,2016-05-01,44.32,63.85,40.27,36.16
21,2016-06-01,44.32,63.85,40.27,36.16
22,2016-07-01,44.32,63.85,40.27,36.16
23,2016-08-01,44.32,63.85,40.27,36.16
24,2016-09-01,44.32,63.85,40.27,36.16
25,2016-10-01,44.32,63.85,40.27,36.16
26,2016-11-01,43.52,63.85,40.27,34.38
27,2016-12-01,43.52,63.85,40.27,34.38
28,2017-01-01,44.52,58.85,40.27,39.4
29,2017-02-01,44.52,58.85,40.27,39.4
30,2017-03-01,44.52,58.85,40.27,39.4
31,2017-04-01,44.52,58.85,40.27,39.4
32,2017-05-01,44.52,58.85,40.27,39.4
33,2017-06-01,44.52,58.85,40.27,39.4
34,2017-07-01,44.52,58.85,40.27,39.4
35,2017-08-01,44.52,58.85,40.27,39.4
36,2017-09-01,44.52,58.85,40.27,39.4
37,2017-10-01,44.23,56.55,41.55,39.16
38,2017-11-01,44.23,56.55,41.55,39.16
39,2017-12-01,44.23,56.55,41.55,39.16
40,2018-01-01,44.23,56.55,41.55,39.16
41,2018-02-01,44.23,56.55,41.55,39.16
42,2018-03-01,44.23,56.55,41.55,39.16
43,2018-04-01,40.98,45.24,39.5,38.7
44,2018-05-01,40.98,45.24,39.5,38.7
45,2018-06-01,40.98,45.24,39.5,38.7
46,2018-07-01,40.98,45.24,39.5,38.7
47,2018-08-01,40.98,45.24,39.5,38.7
48,2018-09-01,40.98,45.24,39.5,38.7
49,2018-10-01,40.98,45.24,39.5,38.7
50,2018-11-01,41.06,45.51,39.5,38.7
51,2018-12-01,41.06,45.51,39.5,38.7
52,2019-01-01,41.06,45.51,39.5,38.7
53,2019-02-01,41.06,45.51,39.5,38.7
54,2019-03-01,41.04,45.42,39.5,38.7
55,2019-04-01,41.04,45.42,39.5,38.7
56,2019-05-01,41.04,45.42,39.5,38.7
57,2019-06-01,41.84,45.42,39.5,41.37
58,2019-07-01,41.84,45.42,39.5,41.37
59,2019-08-01,44.44,47.85,42.05,44.23
60,2019-09-01,44.44,47.85,42.05,44.23
61,2019-10-01,44.44,47.85,42.05,44.23
62,2019-11-01,44.44,47.85,42.05,44.23
63,2019-12-01,43.06,47.63,38.75,44.23
64,2020-01-01,17.21,7.1,2.36,7.76
65,2020-02-01,17.21,7.1,2.36,7.76
66,2020-03-01,17.21,7.1,2.36,7.76
67,2020-04-01,,,,
68,2020-05-01,,,,
69,2020-06-01,,,,
70,2020-07-01,17.42,7.3,2.36,7.76
71,2020-08-01,17.42,7.3,2.36,7.76
72,2020-09-01,,,,
73,2020-10-01,17.44,7.33,2.36,7.76
74,2020-11-01,,,,
75,2020-12-01,,,,
76,2021-01-01,17.44,7.33,2.36,7.76
77,2021-02-01,17.21,7.09,2.36,7.76
78,2021-03-01,17.21,7.09,2.36,7.76
79,2021-04-01,,,,
80,2021-05-01,14.74,5.35,3.41,5.98
81,2021-06-01,,,,
82,2021-07-01,,,,
83,2021-08-01,,,,
84,2021-09-01,14.74,5.35,3.41,5.98
85,2021-10-01,,,,
86,2021-11-01,,,,
87,2021-12-01,,,,
88,2022-01-01,,,,
89,2022-02-01,14.52,5.13,3.41,5.98
90,2022-03-01,,,,
91,2022-04-01,,,,
92,2022-05-01,14.52,5.13,3.41,5.98
93,2022-06-01,,,,
94,2022-07-01,,,,
95,2022-08-01,11.58,5.23,3.11,3.23
96,2022-09-01,,,,
97,2022-10-01,,,,
98,2022-11-01,,,,
99,2022-12-01,,,,
100,2023-01-01,11.58,5.23,3.11,3.23
101,2023-02-01,,,,
102,2023-03-01,,,,
103,2023-04-01,,,,
104,2023-05-01,,,,
105,2023-06-01,,,,
106,2023-07-01,,,,
107,2023-08-01,,,,
108,2023-09-01,11.58,5.23,3.11,3.23
